station,neighbors,neighbor_dists
新小金井駅,東小金井駅|武蔵境駅|武蔵小金井駅|多磨駅|三鷹駅,0.66|1.66|1.91|2.28|3.13
多磨駅,白糸台駅|武蔵野台駅|多磨霊園駅|飛田給駅|東府中駅,1.32|1.50|1.76|1.95|2.17
白糸台駅,武蔵野台駅|多磨霊園駅|多磨駅|東府中駅|飛田給駅,0.29|0.65|1.32|1.34|1.43
競艇場前駅,是政駅|多磨霊園駅|南多摩駅|武蔵野台駅|稲城長沼駅,1.00|1.14|1.19|1.36|1.37
是政駅,南多摩駅|競艇場前駅|府中競馬正門前駅|府中本町駅|東府中駅,0.78|1.00|1.38|1.48|1.51
京成上野駅,上野御徒町駅|上野駅|上野広小路駅|御徒町駅|湯島駅,0.38|0.38|0.40|0.45|0.47
新三河島駅,三河島駅|赤土小学校前駅|町屋二丁目駅|西日暮里駅|町屋駅,0.51|0.73|0.78|0.85|0.88
町屋駅,町屋駅前駅|荒川七丁目駅|町屋二丁目駅|荒川二丁目駅|東尾久三丁目駅,0.03|0.29|0.42|0.55|0.67
千住大橋駅,南千住駅|北千住駅|荒川七丁目駅|荒川二丁目駅|荒川一中前駅,1.04|1.05|1.15|1.18|1.21
京成関屋駅,牛田駅|堀切駅|北千住駅|千住大橋駅|鐘ヶ淵駅,0.06|0.54|0.87|1.35|1.38
堀切菖蒲園駅,堀切駅|お花茶屋駅|牛田駅|京成関屋駅|綾瀬駅,1.03|1.11|1.46|1.47|1.63
お花茶屋駅,堀切菖蒲園駅|京成立石駅|青砥駅|四ツ木駅|堀切駅,1.11|1.30|1.49|1.79|2.06
青砥駅,京成立石駅|京成高砂駅|お花茶屋駅|柴又駅|新柴又駅,1.09|1.11|1.49|2.06|2.16
京成高砂駅,柴又駅|青砥駅|新柴又駅|京成小岩駅|京成金町駅,0.96|1.11|1.13|1.80|1.97
京成小岩駅,小岩駅|新柴又駅|江戸川駅|柴又駅|京成高砂駅,1.01|1.06|1.23|1.75|1.80
江戸川駅,京成小岩駅|小岩駅|新柴又駅|柴又駅|京成高砂駅,1.23|1.40|2.12|2.80|3.02
押上（スカイツリー前）駅,押上〈スカイツリー前〉駅|とうきょうスカイツリー駅|本所吾妻橋駅|曳舟駅|京成曳舟駅,0.00|0.33|0.79|0.92|1.07
京成曳舟駅,曳舟駅|東向島駅|押上〈スカイツリー前〉駅|押上（スカイツリー前）駅|小村井駅,0.30|0.66|1.07|1.07|1.13
八広駅,四ツ木駅|東向島駅|鐘ヶ淵駅|京成曳舟駅|曳舟駅,0.73|0.93|1.01|1.29|1.50
四ツ木駅,八広駅|鐘ヶ淵駅|京成立石駅|東向島駅|お花茶屋駅,0.73|1.33|1.42|1.64|1.79
京成立石駅,青砥駅|お花茶屋駅|四ツ木駅|八広駅|堀切菖蒲園駅,1.09|1.30|1.42|2.14|2.16
柴又駅,新柴又駅|京成高砂駅|京成金町駅|金町駅|京成小岩駅,0.70|0.96|1.42|1.53|1.75
京成金町駅,金町駅|柴又駅|京成高砂駅|亀有駅|新柴又駅,0.12|1.42|1.97|2.07|2.10
笹塚駅,代田橋駅|幡ヶ谷駅|東北沢駅|代々木上原駅|下北沢駅,0.77|0.88|1.07|1.27|1.35
代田橋駅,笹塚駅|明大前駅|新代田駅|東松原駅|下北沢駅,0.77|0.86|0.95|1.00|1.27
明大前駅,東松原駅|代田橋駅|下高井戸駅|永福町駅|新代田駅,0.82|0.86|0.86|1.08|1.14
下高井戸駅,松原駅|明大前駅|桜上水駅|永福町駅|東松原駅,0.68|0.86|0.92|1.13|1.34
桜上水駅,上北沢駅|下高井戸駅|松原駅|西永福駅|永福町駅,0.73|0.92|1.28|1.29|1.41
上北沢駅,桜上水駅|八幡山駅|芦花公園駅|浜田山駅|西永福駅,0.73|0.76|1.37|1.47|1.53
八幡山駅,芦花公園駅|上北沢駅|千歳烏山駅|高井戸駅|桜上水駅,0.60|0.76|1.31|1.47|1.50
芦花公園駅,八幡山駅|千歳烏山駅|上北沢駅|高井戸駅|富士見ヶ丘駅,0.60|0.74|1.37|1.55|1.59
千歳烏山駅,芦花公園駅|八幡山駅|仙川駅|富士見ヶ丘駅|上北沢駅,0.74|1.31|1.55|1.96|2.04
仙川駅,つつじヶ丘駅|千歳烏山駅|柴崎駅|芦花公園駅|成城学園前駅,1.01|1.55|1.89|2.29|2.77
つつじヶ丘駅,柴崎駅|仙川駅|国領駅|布田駅|千歳烏山駅,0.88|1.01|1.77|2.30|2.56
柴崎駅,つつじヶ丘駅|国領駅|布田駅|仙川駅|調布駅,0.88|0.88|1.43|1.89|2.05
国領駅,布田駅|柴崎駅|調布駅|つつじヶ丘駅|京王多摩川駅,0.58|0.88|1.29|1.77|2.03
布田駅,国領駅|調布駅|柴崎駅|京王多摩川駅|西調布駅,0.58|0.73|1.43|1.48|2.12
調布駅,布田駅|京王多摩川駅|国領駅|西調布駅|飛田給駅,0.73|1.08|1.29|1.39|2.03
西調布駅,飛田給駅|調布駅|京王多摩川駅|武蔵野台駅|矢野口駅,0.64|1.39|1.53|1.84|1.94
飛田給駅,西調布駅|武蔵野台駅|白糸台駅|多磨駅|多磨霊園駅,0.64|1.20|1.43|1.95|2.01
武蔵野台駅,白糸台駅|多磨霊園駅|飛田給駅|競艇場前駅|多磨駅,0.29|0.81|1.20|1.36|1.50
多磨霊園駅,白糸台駅|東府中駅|武蔵野台駅|競艇場前駅|府中競馬正門前駅,0.65|0.72|0.81|1.14|1.60
東府中駅,多磨霊園駅|府中競馬正門前駅|白糸台駅|府中駅|競艇場前駅,0.72|0.92|1.34|1.44|1.45
府中駅,府中競馬正門前駅|府中本町駅|分倍河原駅|北府中駅|東府中駅,0.64|0.76|1.08|1.21|1.44
中河原駅,西府駅|聖蹟桜ヶ丘駅|分倍河原駅|府中本町駅|百草園駅,1.26|1.36|1.42|1.89|2.39
聖蹟桜ヶ丘駅,中河原駅|百草園駅|京王永山駅|小田急永山駅|西府駅,1.36|1.59|2.30|2.32|2.42
百草園駅,聖蹟桜ヶ丘駅|高幡不動駅|万願寺駅|程久保駅|中河原駅,1.59|1.67|1.84|1.87|2.39
高幡不動駅,程久保駅|万願寺駅|百草園駅|多摩動物公園駅|甲州街道駅,0.82|1.17|1.67|1.69|1.84
南平駅,豊田駅|多摩動物公園駅|平山城址公園駅|程久保駅|中央大学・明星大学駅,1.10|1.26|1.35|1.69|2.05
平山城址公園駅,南平駅|豊田駅|長沼駅|多摩動物公園駅|北野駅,1.35|1.35|1.37|2.19|2.32
長沼駅,北野駅|平山城址公園駅|片倉駅|豊田駅|京王八王子駅,1.04|1.37|2.25|2.33|2.56
北野駅,長沼駅|片倉駅|京王片倉駅|京王八王子駅|八王子駅,1.04|1.31|1.57|1.73|1.86
京王八王子駅,八王子駅|京王片倉駅|北野駅|片倉駅|北八王子駅,0.48|1.58|1.73|1.98|2.19
京王多摩川駅,調布駅|矢野口駅|布田駅|西調布駅|国領駅,1.08|1.46|1.48|1.53|2.03
京王よみうりランド駅,矢野口駅|稲城駅|稲城長沼駅|京王多摩川駅|西調布駅,0.97|1.59|1.83|2.14|2.91
稲城駅,稲城長沼駅|京王よみうりランド駅|南多摩駅|矢野口駅|競艇場前駅,0.92|1.59|1.74|1.93|2.23
京王永山駅,小田急永山駅|小田急多摩センター駅|京王多摩センター駅|聖蹟桜ヶ丘駅|松が谷駅,0.03|2.23|2.25|2.30|2.35
京王多摩センター駅,小田急多摩センター駅|多摩センター駅|松が谷駅|唐木田駅|大塚・帝京大学駅,0.04|0.20|0.74|1.46|1.47
京王堀之内駅,唐木田駅|大塚・帝京大学駅|多摩センター駅|中央大学・明星大学駅|松が谷駅,1.34|2.01|2.03|2.09|2.13
南大沢駅,多摩境駅|京王堀之内駅|唐木田駅|長沼駅|平山城址公園駅,1.79|2.18|2.89|3.42|3.69
多摩境駅,南大沢駅|相原駅|京王堀之内駅|唐木田駅|長沼駅,1.79|3.24|3.92|4.35|4.55
京王片倉駅,片倉駅|八王子駅|山田駅|北野駅|京王八王子駅,0.64|1.26|1.44|1.57|1.58
山田駅,めじろ台駅|京王片倉駅|西八王子駅|八王子みなみ野駅|片倉駅,1.14|1.44|1.55|1.75|1.89
めじろ台駅,山田駅|狭間駅|西八王子駅|高尾駅|八王子みなみ野駅,1.14|1.36|1.49|2.39|2.47
狭間駅,高尾駅|めじろ台駅|高尾山口駅|西八王子駅|山田駅,1.07|1.36|2.35|2.46|2.50
高尾山口駅,高尾駅|狭間駅|めじろ台駅|西八王子駅|山田駅,1.53|2.35|3.70|4.70|4.81
府中競馬正門前駅,府中駅|府中本町駅|東府中駅|是政駅|分倍河原駅,0.64|0.76|0.92|1.38|1.46
多摩動物公園駅,中央大学・明星大学駅|程久保駅|南平駅|高幡不動駅|大塚・帝京大学駅,0.87|0.90|1.26|1.69|1.74
神泉駅,渋谷駅|駒場東大前駅|池尻大橋駅|代官山駅|代々木公園駅,0.74|0.85|1.11|1.33|1.39
駒場東大前駅,神泉駅|池尻大橋駅|池ノ上駅|代々木上原駅|代々木公園駅,0.85|0.90|1.00|1.22|1.24
池ノ上駅,東北沢駅|下北沢駅|駒場東大前駅|世田谷代田駅|代々木上原駅,0.55|0.58|1.00|1.10|1.15
下北沢駅,池ノ上駅|新代田駅|世田谷代田駅|東北沢駅|東松原駅,0.58|0.61|0.63|0.67|1.06
新代田駅,東松原駅|世田谷代田駅|下北沢駅|代田橋駅|梅ヶ丘駅,0.45|0.48|0.61|0.95|0.96
東松原駅,新代田駅|世田谷代田駅|梅ヶ丘駅|明大前駅|代田橋駅,0.45|0.72|0.75|0.82|1.00
永福町駅,西永福駅|明大前駅|下高井戸駅|桜上水駅|方南町駅,0.76|1.08|1.13|1.41|1.48
西永福駅,浜田山駅|永福町駅|桜上水駅|下高井戸駅|上北沢駅,0.73|0.76|1.29|1.53|1.53
浜田山駅,西永福駅|高井戸駅|上北沢駅|永福町駅|桜上水駅,0.73|1.13|1.47|1.49|1.58
高井戸駅,富士見ヶ丘駅|浜田山駅|八幡山駅|久我山駅|芦花公園駅,0.75|1.13|1.47|1.53|1.55
富士見ヶ丘駅,高井戸駅|久我山駅|芦花公園駅|八幡山駅|三鷹台駅,0.75|0.80|1.59|1.79|1.79
久我山駅,富士見ヶ丘駅|三鷹台駅|高井戸駅|西荻窪駅|井の頭公園駅,0.80|0.99|1.53|1.74|1.77
三鷹台駅,井の頭公園駅|久我山駅|吉祥寺駅|西荻窪駅|富士見ヶ丘駅,0.81|0.99|1.47|1.59|1.79
井の頭公園駅,吉祥寺駅|三鷹台駅|西荻窪駅|久我山駅|三鷹駅,0.69|0.81|1.63|1.77|2.14
新線新宿駅,新宿駅|新宿西口駅|南新宿駅|都庁前駅|新宿三丁目駅,0.18|0.51|0.58|0.60|0.63
初台駅,参宮橋駅|西新宿五丁目駅|幡ヶ谷駅|南新宿駅|都庁前駅,0.71|0.97|1.03|1.14|1.18
幡ヶ谷駅,笹塚駅|代々木上原駅|初台駅|東北沢駅|代々木八幡駅,0.88|0.95|1.03|1.33|1.41
南新宿駅,代々木駅|新線新宿駅|参宮橋駅|新宿駅|北参道駅,0.30|0.58|0.71|0.73|0.83
参宮橋駅,南新宿駅|初台駅|代々木駅|代々木八幡駅|北参道駅,0.71|0.71|0.91|1.07|1.07
代々木八幡駅,代々木公園駅|代々木上原駅|参宮橋駅|原宿駅|駒場東大前駅,0.06|0.79|1.07|1.24|1.29
代々木上原駅,東北沢駅|代々木八幡駅|代々木公園駅|幡ヶ谷駅|池ノ上駅,0.77|0.79|0.81|0.95|1.15
東北沢駅,池ノ上駅|下北沢駅|代々木上原駅|笹塚駅|新代田駅,0.55|0.67|0.77|1.07|1.17
世田谷代田駅,新代田駅|下北沢駅|東松原駅|梅ヶ丘駅|池ノ上駅,0.48|0.63|0.72|0.76|1.10
梅ヶ丘駅,豪徳寺駅|山下駅|東松原駅|世田谷代田駅|新代田駅,0.61|0.69|0.75|0.76|0.96
豪徳寺駅,山下駅|梅ヶ丘駅|宮の坂駅|松原駅|経堂駅,0.08|0.61|0.73|0.85|1.07
経堂駅,宮の坂駅|山下駅|豪徳寺駅|千歳船橋駅|松原駅,0.89|1.00|1.07|1.10|1.14
千歳船橋駅,経堂駅|祖師ヶ谷大蔵駅|宮の坂駅|上町駅|松原駅,1.10|1.43|1.84|2.01|2.09
祖師ヶ谷大蔵駅,成城学園前駅|千歳船橋駅|喜多見駅|経堂駅|千歳烏山駅,1.03|1.43|2.13|2.53|2.86
成城学園前駅,祖師ヶ谷大蔵駅|喜多見駅|狛江駅|千歳船橋駅|和泉多摩川駅,1.03|1.11|2.17|2.45|2.68
喜多見駅,狛江駅|成城学園前駅|和泉多摩川駅|祖師ヶ谷大蔵駅|つつじヶ丘駅,1.07|1.11|1.62|2.13|2.61
狛江駅,和泉多摩川駅|喜多見駅|成城学園前駅|柴崎駅|国領駅,0.60|1.07|2.17|2.62|2.65
和泉多摩川駅,狛江駅|喜多見駅|成城学園前駅|国領駅|柴崎駅,0.60|1.62|2.68|2.89|3.03
鶴川駅,玉川学園前駅|成瀬駅|町田駅|小田急永山駅|京王永山駅,2.73|5.35|5.52|6.03|6.03
玉川学園前駅,鶴川駅|町田駅|成瀬駅|つくし野駅|すずかけ台駅,2.73|2.78|3.23|4.45|5.41
小田急永山駅,京王永山駅|小田急多摩センター駅|京王多摩センター駅|聖蹟桜ヶ丘駅|松が谷駅,0.03|2.21|2.22|2.32|2.33
小田急多摩センター駅,京王多摩センター駅|多摩センター駅|松が谷駅|唐木田駅|大塚・帝京大学駅,0.04|0.19|0.78|1.46|1.51
唐木田駅,多摩センター駅|京王堀之内駅|小田急多摩センター駅|京王多摩センター駅|松が谷駅,1.28|1.34|1.46|1.46|1.92
代官山駅,恵比寿駅|中目黒駅|渋谷駅|神泉駅|祐天寺駅,0.61|0.64|1.20|1.33|1.67
中目黒駅,代官山駅|祐天寺駅|恵比寿駅|池尻大橋駅|神泉駅,0.64|1.03|1.07|1.49|1.55
祐天寺駅,中目黒駅|学芸大学駅|池尻大橋駅|代官山駅|三軒茶屋駅,1.03|1.06|1.60|1.67|2.00
学芸大学駅,祐天寺駅|都立大学駅|西小山駅|武蔵小山駅|中目黒駅,1.06|1.45|1.92|1.97|2.06
都立大学駅,緑が丘駅|自由が丘駅|大岡山駅|学芸大学駅|奥沢駅,1.30|1.37|1.44|1.45|1.58
自由が丘駅,奥沢駅|九品仏駅|緑が丘駅|田園調布駅|尾山台駅,0.49|0.72|0.98|1.16|1.34
田園調布駅,多摩川駅|奥沢駅|九品仏駅|自由が丘駅|雪が谷大塚駅,0.81|0.91|1.11|1.16|1.35
多摩川駅,田園調布駅|沼部駅|雪が谷大塚駅|御嶽山駅|奥沢駅,0.81|0.88|1.15|1.33|1.63
不動前駅,目黒駅|大崎広小路駅|五反田駅|武蔵小山駅|戸越銀座駅,0.77|0.84|0.85|1.13|1.18
武蔵小山駅,西小山駅|戸越銀座駅|不動前駅|戸越駅|荏原中延駅,0.77|1.06|1.13|1.26|1.35
西小山駅,洗足駅|武蔵小山駅|北千束駅|旗の台駅|荏原中延駅,0.68|0.77|1.13|1.21|1.36
洗足駅,北千束駅|西小山駅|大岡山駅|旗の台駅|長原駅,0.47|0.68|0.83|0.94|0.97
大岡山駅,緑が丘駅|北千束駅|洗足駅|洗足池駅|石川台駅,0.59|0.68|0.83|0.98|1.18
奥沢駅,自由が丘駅|緑が丘駅|田園調布駅|九品仏駅|大岡山駅,0.49|0.70|0.91|1.04|1.28
池尻大橋駅,駒場東大前駅|神泉駅|池ノ上駅|三軒茶屋駅|中目黒駅,0.90|1.11|1.46|1.49|1.49
三軒茶屋駅,西太子堂駅|若林駅|松陰神社前駅|駒沢大学駅|池尻大橋駅,0.35|0.96|1.35|1.37|1.49
駒沢大学駅,西太子堂駅|松陰神社前駅|三軒茶屋駅|若林駅|世田谷駅,1.30|1.30|1.37|1.39|1.48
桜新町駅,用賀駅|上町駅|世田谷駅|駒沢大学駅|松陰神社前駅,1.14|1.34|1.43|1.54|1.66
用賀駅,桜新町駅|上野毛駅|二子玉川駅|上町駅|等々力駅,1.14|1.67|1.75|2.21|2.37
二子玉川駅,上野毛駅|用賀駅|等々力駅|尾山台駅|桜新町駅,1.10|1.75|1.96|2.51|2.74
つくし野駅,すずかけ台駅|成瀬駅|南町田グランベリーパーク駅|町田駅|玉川学園前駅,1.20|1.41|2.23|3.98|4.45
すずかけ台駅,南町田グランベリーパーク駅|つくし野駅|成瀬駅|町田駅|玉川学園前駅,1.20|1.20|2.18|4.37|5.41
南町田グランベリーパーク駅,すずかけ台駅|つくし野駅|成瀬駅|町田駅|玉川学園前駅,1.20|2.23|2.66|4.17|5.80
下神明駅,戸越公園駅|大井町駅|西大井駅|戸越駅|中延駅,0.73|0.81|0.89|1.10|1.23
戸越公園駅,荏原中延駅|中延駅|戸越駅|下神明駅|戸越銀座駅,0.55|0.57|0.66|0.73|0.84
中延駅,荏原中延駅|荏原町駅|戸越公園駅|西大井駅|旗の台駅,0.49|0.55|0.57|0.90|0.98
荏原町駅,旗の台駅|中延駅|荏原中延駅|長原駅|馬込駅,0.49|0.55|0.81|0.89|0.90
旗の台駅,荏原町駅|長原駅|北千束駅|洗足駅|中延駅,0.49|0.50|0.83|0.94|0.98
北千束駅,洗足駅|長原駅|大岡山駅|洗足池駅|旗の台駅,0.47|0.62|0.68|0.77|0.83
緑が丘駅,大岡山駅|奥沢駅|自由が丘駅|石川台駅|北千束駅,0.59|0.70|0.98|1.17|1.25
九品仏駅,尾山台駅|自由が丘駅|奥沢駅|田園調布駅|等々力駅,0.67|0.72|1.04|1.11|1.22
尾山台駅,等々力駅|九品仏駅|自由が丘駅|上野毛駅|田園調布駅,0.56|0.67|1.34|1.46|1.66
等々力駅,尾山台駅|上野毛駅|九品仏駅|自由が丘駅|二子玉川駅,0.56|0.91|1.22|1.87|1.96
上野毛駅,等々力駅|二子玉川駅|尾山台駅|用賀駅|九品仏駅,0.91|1.10|1.46|1.67|2.12
大崎広小路駅,五反田駅|大崎駅|不動前駅|戸越銀座駅|戸越駅,0.46|0.62|0.84|0.97|1.00
戸越銀座駅,戸越駅|荏原中延駅|戸越公園駅|大崎広小路駅|武蔵小山駅,0.21|0.69|0.84|0.97|1.06
荏原中延駅,中延駅|戸越公園駅|戸越駅|戸越銀座駅|荏原町駅,0.49|0.55|0.64|0.69|0.81
長原駅,旗の台駅|北千束駅|洗足池駅|荏原町駅|洗足駅,0.50|0.62|0.69|0.89|0.97
洗足池駅,石川台駅|長原駅|北千束駅|大岡山駅|旗の台駅,0.61|0.69|0.77|0.98|1.18
石川台駅,洗足池駅|雪が谷大塚駅|緑が丘駅|大岡山駅|北千束駅,0.61|0.65|1.17|1.18|1.28
雪が谷大塚駅,石川台駅|御嶽山駅|多摩川駅|洗足池駅|沼部駅,0.65|0.77|1.15|1.22|1.27
御嶽山駅,久が原駅|雪が谷大塚駅|沼部駅|鵜の木駅|石川台駅,0.70|0.77|0.88|1.10|1.31
久が原駅,鵜の木駅|御嶽山駅|千鳥町駅|下丸子駅|沼部駅,0.64|0.70|0.89|0.90|1.17
千鳥町駅,下丸子駅|武蔵新田駅|久が原駅|鵜の木駅|池上駅,0.56|0.58|0.89|1.02|1.03
池上駅,蓮沼駅|千鳥町駅|武蔵新田駅|矢口渡駅|下丸子駅,1.01|1.03|1.04|1.08|1.56
蓮沼駅,蒲田駅|矢口渡駅|池上駅|京急蒲田駅|武蔵新田駅,0.64|0.76|1.01|1.42|1.50
沼部駅,御嶽山駅|多摩川駅|鵜の木駅|久が原駅|雪が谷大塚駅,0.88|0.88|1.02|1.17|1.27
鵜の木駅,下丸子駅|久が原駅|千鳥町駅|沼部駅|御嶽山駅,0.64|0.64|1.02|1.02|1.10
下丸子駅,千鳥町駅|鵜の木駅|武蔵新田駅|久が原駅|池上駅,0.56|0.64|0.74|0.90|1.56
武蔵新田駅,千鳥町駅|下丸子駅|矢口渡駅|池上駅|鵜の木駅,0.58|0.74|0.93|1.04|1.37
矢口渡駅,蓮沼駅|武蔵新田駅|池上駅|蒲田駅|千鳥町駅,0.76|0.93|1.08|1.33|1.42
西太子堂駅,三軒茶屋駅|若林駅|松陰神社前駅|駒沢大学駅|世田谷駅,0.35|0.60|1.01|1.30|1.40
若林駅,松陰神社前駅|西太子堂駅|世田谷駅|三軒茶屋駅|梅ヶ丘駅,0.48|0.60|0.85|0.96|1.26
松陰神社前駅,世田谷駅|若林駅|上町駅|宮の坂駅|西太子堂駅,0.39|0.48|0.81|1.01|1.01
世田谷駅,松陰神社前駅|上町駅|宮の坂駅|若林駅|豪徳寺駅,0.39|0.42|0.70|0.85|1.18
上町駅,世田谷駅|宮の坂駅|松陰神社前駅|山下駅|豪徳寺駅,0.42|0.44|0.81|1.13|1.13
宮の坂駅,上町駅|世田谷駅|山下駅|豪徳寺駅|経堂駅,0.44|0.70|0.72|0.73|0.89
山下駅,豪徳寺駅|梅ヶ丘駅|宮の坂駅|松原駅|経堂駅,0.08|0.69|0.72|0.80|1.00
松原駅,下高井戸駅|山下駅|豪徳寺駅|梅ヶ丘駅|経堂駅,0.68|0.80|0.85|1.14|1.14
泉岳寺駅,高輪ゲートウェイ駅|白金高輪駅|田町駅|品川駅|高輪台駅,0.36|0.71|1.04|1.12|1.17
北品川駅,新馬場駅|品川駅|大崎駅|天王洲アイル駅|高輪台駅,0.57|0.69|1.01|1.04|1.30
新馬場駅,北品川駅|青物横丁駅|天王洲アイル駅|大崎駅|品川駅,0.57|0.93|0.96|1.19|1.25
青物横丁駅,鮫洲駅|品川シーサイド駅|大井町駅|新馬場駅|立会川駅,0.49|0.60|0.76|0.93|1.26
鮫洲駅,青物横丁駅|大井町駅|品川シーサイド駅|立会川駅|大井競馬場前駅,0.49|0.70|0.77|0.78|1.19
立会川駅,鮫洲駅|大井競馬場前駅|大井町駅|大森海岸駅|青物横丁駅,0.78|0.83|1.02|1.25|1.26
大森海岸駅,大森駅|平和島駅|立会川駅|大井競馬場前駅|流通センター駅,0.68|0.99|1.25|1.34|1.38
平和島駅,大森町駅|大森海岸駅|大森駅|流通センター駅|梅屋敷駅,0.74|0.99|1.29|1.32|1.44
大森町駅,梅屋敷駅|平和島駅|京急蒲田駅|昭和島駅|大森海岸駅,0.70|0.74|1.50|1.63|1.71
梅屋敷駅,大森町駅|京急蒲田駅|蒲田駅|糀谷駅|平和島駅,0.70|0.79|1.31|1.38|1.44
京急蒲田駅,蒲田駅|梅屋敷駅|糀谷駅|蓮沼駅|雑色駅,0.79|0.79|0.88|1.42|1.46
雑色駅,六郷土手駅|蒲田駅|糀谷駅|京急蒲田駅|蓮沼駅,1.22|1.36|1.42|1.46|1.71
六郷土手駅,雑色駅|蒲田駅|矢口渡駅|糀谷駅|蓮沼駅,1.22|2.47|2.52|2.52|2.62
糀谷駅,京急蒲田駅|大鳥居駅|梅屋敷駅|雑色駅|蒲田駅,0.88|0.91|1.38|1.42|1.55
大鳥居駅,穴守稲荷駅|糀谷駅|整備場駅|天空橋駅|京急蒲田駅,0.70|0.91|1.30|1.40|1.69
穴守稲荷駅,天空橋駅|大鳥居駅|整備場駅|糀谷駅|羽田空港第3ターミナル駅,0.70|0.70|0.81|1.61|2.09
天空橋駅,整備場駅|穴守稲荷駅|羽田空港第3ターミナル駅|大鳥居駅|糀谷駅,0.69|0.70|1.39|1.40|2.31
羽田空港第3ターミナル駅,天空橋駅|羽田空港第1ターミナル駅|新整備場駅|羽田空港第1・第2ターミナル駅|整備場駅,1.39|1.54|1.65|1.68|1.82
羽田空港第1・第2ターミナル駅,羽田空港第1ターミナル駅|羽田空港第2ターミナル駅|新整備場駅|羽田空港第3ターミナル駅|天空橋駅,0.14|0.21|0.78|1.68|2.87
田原町駅,浅草駅|蔵前駅|稲荷町駅|新御徒町駅|本所吾妻橋駅,0.52|0.74|0.76|0.87|1.25
稲荷町駅,新御徒町駅|上野駅|田原町駅|仲御徒町駅|京成上野駅,0.47|0.54|0.76|0.78|0.81
上野広小路駅,上野御徒町駅|御徒町駅|湯島駅|仲御徒町駅|京成上野駅,0.13|0.17|0.27|0.32|0.40
末広町駅,秋葉原駅|上野広小路駅|御徒町駅|仲御徒町駅|上野御徒町駅,0.53|0.53|0.55|0.57|0.60
三越前駅,新日本橋駅|日本橋駅|神田駅|小伝馬町駅|大手町駅,0.30|0.46|0.68|0.70|0.80
日本橋駅,三越前駅|茅場町駅|京橋駅|東京駅|新日本橋駅,0.46|0.57|0.68|0.75|0.75
京橋駅,宝町駅|銀座一丁目駅|有楽町駅|東京駅|日本橋駅,0.21|0.39|0.60|0.63|0.68
銀座駅,銀座一丁目駅|有楽町駅|東銀座駅|日比谷駅|京橋駅,0.38|0.39|0.41|0.51|0.77
虎ノ門駅,虎ノ門ヒルズ駅|霞ケ関駅|内幸町駅|国会議事堂前駅|桜田門駅,0.36|0.41|0.52|0.58|0.81
溜池山王駅,赤坂駅|国会議事堂前駅|赤坂見附駅|永田町駅|虎ノ門駅,0.28|0.34|0.55|0.58|0.85
赤坂見附駅,永田町駅|赤坂駅|溜池山王駅|麹町駅|国会議事堂前駅,0.35|0.44|0.55|0.78|0.81
青山一丁目駅,外苑前駅|乃木坂駅|信濃町駅|国立競技場駅|六本木駅,0.62|0.72|0.86|1.13|1.24
外苑前駅,青山一丁目駅|表参道駅|乃木坂駅|国立競技場駅|信濃町駅,0.62|0.77|0.87|1.07|1.09
表参道駅,外苑前駅|明治神宮前〈原宿〉駅|原宿駅|渋谷駅|乃木坂駅,0.77|0.79|1.06|1.20|1.26
新大塚駅,向原駅|大塚駅|大塚駅前駅|護国寺駅|東池袋四丁目駅,0.58|0.65|0.66|0.77|0.90
茗荷谷駅,江戸川橋駅|護国寺駅|新大塚駅|千石駅|白山駅,0.89|0.90|1.16|1.40|1.43
後楽園駅,春日駅|水道橋駅|本郷三丁目駅|飯田橋駅|東大前駅,0.23|0.63|0.74|0.91|1.21
本郷三丁目駅,春日駅|水道橋駅|後楽園駅|御茶ノ水駅|湯島駅,0.67|0.68|0.74|0.89|0.90
淡路町駅,小川町駅|新御茶ノ水駅|神田駅|御茶ノ水駅|秋葉原駅,0.08|0.33|0.49|0.57|0.68
大手町駅,東京駅|二重橋前駅|三越前駅|新日本橋駅|神田駅,0.51|0.58|0.80|0.84|0.86
霞ケ関駅,桜田門駅|虎ノ門駅|国会議事堂前駅|内幸町駅|虎ノ門ヒルズ駅,0.40|0.41|0.51|0.62|0.76
国会議事堂前駅,溜池山王駅|霞ケ関駅|虎ノ門駅|赤坂駅|桜田門駅,0.34|0.51|0.58|0.62|0.68
四谷三丁目駅,曙橋駅|新宿御苑前駅|信濃町駅|四ツ谷駅|国立競技場駅,0.55|0.85|0.88|0.95|1.02
新宿御苑前駅,新宿三丁目駅|千駄ケ谷駅|四谷三丁目駅|新宿駅|代々木駅,0.54|0.82|0.85|0.97|1.00
新宿三丁目駅,新宿駅|新宿御苑前駅|新宿西口駅|新線新宿駅|西武新宿駅,0.48|0.54|0.62|0.63|0.78
西新宿駅,都庁前駅|新宿西口駅|西武新宿駅|新宿駅|新線新宿駅,0.42|0.59|0.69|0.82|0.83
中野坂上駅,西新宿五丁目駅|中野新橋駅|西新宿駅|東中野駅|都庁前駅,0.87|0.98|0.98|1.03|1.19
新中野駅,中野新橋駅|中野富士見町駅|中野駅|東高円寺駅|中野坂上駅,0.75|0.80|0.96|1.01|1.22
東高円寺駅,新高円寺駅|新中野駅|高円寺駅|中野駅|中野富士見町駅,0.88|1.01|1.11|1.14|1.15
新高円寺駅,高円寺駅|東高円寺駅|南阿佐ケ谷駅|阿佐ケ谷駅|方南町駅,0.83|0.88|1.12|1.34|1.78
