name,st,min,near,use,year,floors,area,src,addr
THE TOWERS DAIBA,お台場海浜公園,5,お台場海浜公園:5,分譲,,,,とどまるマンション,港区台場2丁目
GENOVIAお花茶屋IIskygarden,お花茶屋,4,お花茶屋:4|堀切菖蒲園:11,分譲,2023,7,5884,建築物環境計画書,葛飾区宝町2丁目5番25
ALTERNA お花茶屋(オルタナ オハナジャヤ),お花茶屋,9,お花茶屋:9|堀切菖蒲園:13|四ツ木:14|京成立石:14,分譲,2023,5,3854,建築物環境計画書,葛飾区宝町1丁目24番1号
アーバンパークお花茶屋,お花茶屋,9,お花茶屋:9|堀切菖蒲園:13|四ツ木:14|京成立石:14,分譲,2024,14,3455,建築物環境計画書,葛飾区宝町1丁目1番7号
エクセレントシティお花茶屋レジデンス,お花茶屋,9,お花茶屋:9,分譲,2023,6,3821,建築物環境計画書,葛飾区白鳥三丁目26番9(住居表示)
テラス押上,とうきょうスカイツリー,4,とうきょうスカイツリー:4|本所吾妻橋:6|浅草:14,賃貸,2023,10,3733,建築物環境計画書,墨田区業平一丁目13番3
ミリアレジデンス押上,とうきょうスカイツリー,4,とうきょうスカイツリー:4|本所吾妻橋:9|曳舟:11|浅草:13|京成曳舟:14,賃貸,,,,とどまるマンション,墨田区向島3丁目
SEASON FLATS 押上 Terrace,とうきょうスカイツリー,6,とうきょうスカイツリー:6|本所吾妻橋:12|小村井:15,賃貸,2023,7,2150,建築物環境計画書,墨田区業平4丁目11番7号
グランハイツ錦糸町,とうきょうスカイツリー,10,とうきょうスカイツリー:10|錦糸町:11|本所吾妻橋:12,賃貸,,,,とどまるマンション,墨田区横川3丁目
藤和シティコープ錦糸町II,とうきょうスカイツリー,11,とうきょうスカイツリー:11|錦糸町:12|小村井:14|亀戸:14,分譲,,,,とどまるマンション,墨田区横川5丁目
GENOVIA板橋東山町skygarden,ときわ台,7,ときわ台:7|中板橋:9,賃貸,2021,4,2016,建築物環境計画書,板橋区東山町7番9
秀和めじろ台レジデンス,めじろ台,10,めじろ台:10,分譲,,,,とどまるマンション,八王子市椚田町
アルファグランデ一之江七番街,一之江,4,一之江:4,分譲,2026,14,3409,建築物環境計画書,江戸川区一之江七丁目189番4
コスモフェスタ一之江,一之江,6,一之江:6,分譲,,,,とどまるマンション,江戸川区一之江4丁目
アルファグランデ一之江弐番街,一之江,8,一之江:8|船堀:14,分譲,,,,とどまるマンション,江戸川区一之江6丁目
ザ・パークハウス 一之江,一之江,8,一之江:8|船堀:14,分譲,,,,とどまるマンション,江戸川区一之江6丁目
バウス一之江,一之江,10,一之江:10|瑞江:11,分譲,2025,5,7224,建築物環境計画書,江戸川区春江町3丁目22-35
リーデンススクエア瑞江,一之江,10,一之江:10|瑞江:11,分譲,,,,とどまるマンション,江戸川区春江町3丁目
ガーラ・レジデンス船堀ブライト,一之江,12,一之江:12|船堀:14,分譲,2026,13,2845,建築物環境計画書,江戸川区松江七丁目11-11
一橋学園サニーコート,一橋学園,7,一橋学園:7,分譲,,,,とどまるマンション,小平市学園東町2丁目
ネクステージ一橋学園,一橋学園,9,一橋学園:9,分譲,,,,とどまるマンション,小平市上水本町4丁目
ハイラーク一橋学園,一橋学園,12,一橋学園:12,分譲,,,,とどまるマンション,小平市喜平町1丁目
コスモグラシア三ノ輪,三ノ輪,4,三ノ輪:4|入谷:10|南千住:14,賃貸,2022,14,2586,建築物環境計画書,台東区竜泉二丁目367番6
ORSUS三ノ輪(オルサス三ノ輪),三ノ輪,6,三ノ輪:6|入谷:11|南千住:13,賃貸,2024,10,2949,建築物環境計画書,台東区竜泉3丁目31-11
ライオンズ南千住グランプレイス,三ノ輪,6,三ノ輪:6|南千住:9|千住大橋:14,分譲,2024,14,14652,建築物環境計画書,荒川区南千住1丁目85番1(地番)
TK花梨ビル,三ノ輪,7,三ノ輪:7|南千住:8,賃貸,,,,とどまるマンション,台東区日本堤2丁目
エクラ南千住,三ノ輪,7,三ノ輪:7|南千住:8,分譲,2022,14,2320,建築物環境計画書,"台東区日本堤二丁目110番1,4"
メインステージ三ノ輪III,三ノ輪,7,三ノ輪:7|南千住:8,分譲,2022,12,2057,建築物環境計画書,台東区日本堤2丁目12番13他
レーベンシティオ上野入谷タワーフォルム,三ノ輪,7,三ノ輪:7|入谷:8|鶯谷:12,分譲,,,,とどまるマンション,台東区下谷三丁目
ケルン浅草,三ノ輪,9,三ノ輪:9|入谷:13|南千住:13,分譲,,,,とどまるマンション,台東区千束4丁目
東京アルバタワー,三ノ輪,9,三ノ輪:9|三河島:11|町屋:13|南千住:14|新三河島:15,分譲,,,,とどまるマンション,荒川区荒川1丁目
プレサンスレイズ東京三ノ輪,三ノ輪,10,三ノ輪:10|南千住:10,分譲,2024,11,2360,建築物環境計画書,台東区日本堤一丁目222番1
プラウドフラット日暮里,三河島,3,三河島:3|日暮里:7|新三河島:9|西日暮里:11|鶯谷:13,賃貸,2022,14,2354,建築物環境計画書,荒川区東日暮里六丁目6番6号
モリス日暮里駅前,三河島,3,三河島:3|日暮里:7|新三河島:9|西日暮里:11|鶯谷:13,分譲,,,,とどまるマンション,荒川区東日暮里6丁目
星和日暮里ハイツ,三河島,3,三河島:3|日暮里:7|新三河島:9|西日暮里:11|鶯谷:13,分譲,,,,とどまるマンション,荒川区東日暮里6丁目
Brillia三河島 Station Front,三河島,4,三河島:4|新三河島:9|町屋:11|三ノ輪:13|日暮里:14,分譲,2024,15,4110,建築物環境計画書,荒川区荒川三丁目62-3
アルファグランデ日暮里,三河島,6,三河島:6|三ノ輪:11|日暮里:12|新三河島:12|鶯谷:13,分譲,2024,12,3341,建築物環境計画書,"荒川区東日暮里三丁目243-1,2"
Brillia日本橋三越前,三越前,4,三越前:4|新日本橋:5|人形町:6|小伝馬町:7|茅場町:8,,,,,中央区防災認定,中央区日本橋本町3-10-7
BLESS 三軒茶屋 EAST(ブレス三軒茶屋イースト),三軒茶屋,2,三軒茶屋:2|若林:10|松陰神社前:15,賃貸,2024,16,7255,建築物環境計画書,世田谷区 太子堂 4丁目 3番 16号
BLESS 三軒茶屋 WEST(ブレス三軒茶屋ウエスト),三軒茶屋,2,三軒茶屋:2|若林:10|松陰神社前:15,賃貸,2024,12,2512,建築物環境計画書,世田谷区 太子堂 4丁目 3番 10号
グランドメゾン三軒茶屋の杜,三軒茶屋,5,三軒茶屋:5|若林:9|松陰神社前:12|駒沢大学:13,分譲,,,,とどまるマンション,世田谷区三軒茶屋2丁目
プライムアーバン三軒茶屋,三軒茶屋,5,三軒茶屋:5|若林:9|松陰神社前:12|駒沢大学:13,賃貸,,,,とどまるマンション,世田谷区三軒茶屋2丁目
レグノ・スイート三軒茶屋,三軒茶屋,5,三軒茶屋:5|若林:9|松陰神社前:12|駒沢大学:13,分譲,,,,とどまるマンション,世田谷区三軒茶屋2丁目
グランドヒルズ三軒茶屋ヒルトップガーデン,三軒茶屋,8,三軒茶屋:8|若林:12,分譲,,,,とどまるマンション,世田谷区太子堂3丁目
プラウドフラット三軒茶屋,三軒茶屋,8,三軒茶屋:8|池尻大橋:14,賃貸,,,,とどまるマンション,世田谷区太子堂1丁目
プラウドフラット三軒茶屋II,三軒茶屋,8,三軒茶屋:8|池尻大橋:14,賃貸,,,,とどまるマンション,世田谷区太子堂一丁目
三軒茶屋GRAND,三軒茶屋,8,三軒茶屋:8|池尻大橋:14,賃貸,2023,8,2444,建築物環境計画書,世田谷区太子堂1丁目12番23号
RETERRACE SANGENJAYA NORTH,三軒茶屋,9,三軒茶屋:9|池尻大橋:11,賃貸,2024,5,3067,建築物環境計画書,世田谷区三宿一丁目14番12号
アジールコート三宿テラス,三軒茶屋,9,三軒茶屋:9|池尻大橋:11,分譲,2025,5,2310,建築物環境計画書,世田谷区 三宿 1丁目 314番 65、68
ガーデンヴィラ三軒茶屋,三軒茶屋,9,三軒茶屋:9,分譲,,,,とどまるマンション,世田谷区下馬2丁目
ザ・パークワンズ三軒茶屋,三軒茶屋,9,三軒茶屋:9,分譲,2024,5,3143,建築物環境計画書,世田谷区下馬2丁目259番164
ハウス・ソラーナ(ブロックA・ブロックB・ブロックC),三軒茶屋,11,三軒茶屋:11|駒沢大学:12,,,,,とどまるマンション,世田谷区野沢1丁目
パークホームズ三軒茶屋シエル・クール,三軒茶屋,11,三軒茶屋:11|駒沢大学:12,分譲,,,,とどまるマンション,世田谷区野沢1丁目
SYNCHRONICITY Musashino,三鷹,3,三鷹:3,賃貸,2024,5,2056,建築物環境計画書,武蔵野市中町一丁目3192番11
武蔵野タワーズ,三鷹,3,三鷹:3,分譲,,,,とどまるマンション,武蔵野市中町1丁目
武蔵野学生寮,三鷹,3,三鷹:3,賃貸,2024,14,4957,建築物環境計画書,武蔵野市中町2-2-1
ピアコート三鷹貳番館,三鷹,5,三鷹:5,分譲,,,,とどまるマンション,三鷹市下連雀3丁目
ブランズ三鷹,三鷹,5,三鷹:5|武蔵境:15,分譲,2022,12,2232,建築物環境計画書,三鷹市上連雀二丁目2番10号(住居表示)
パークホームズ吉祥寺ウエスト・コート,三鷹,7,三鷹:7,分譲,,,,とどまるマンション,武蔵野市中町2丁目
リストレジデンス武蔵野御殿山,三鷹,7,三鷹:7,分譲,2023,3,3920,建築物環境計画書,武蔵野市御殿山二丁目3181-5
ルフォン吉祥寺,三鷹,7,三鷹:7,分譲,,,,とどまるマンション,武蔵野市御殿山2丁目
ザ・パークハウス三鷹櫻邸,三鷹,9,三鷹:9|武蔵境:11,分譲,,,,とどまるマンション,三鷹市上連雀1丁目
ファインスクェア武蔵野テラス,三鷹,10,三鷹:10,分譲,2024,5,3187,とどまるマンション／建築物環境計画書,武蔵野市西久保二丁目443番2
プライマルD三鷹,三鷹,10,三鷹:10,賃貸,2023,6,2371,建築物環境計画書,"武蔵野市西久保2丁目146番10,24,54"
ザ・パークハウス武蔵野レジデンス,三鷹,11,三鷹:11,分譲,2024,5,4379,建築物環境計画書,武蔵野市中町三丁目1624番5
ブリリア三鷹下連雀,三鷹,11,三鷹:11,分譲,2022,8,4123,建築物環境計画書,三鷹市下連雀四丁目315-16、17
三鷹上連雀シティハイツ,三鷹,11,三鷹:11,分譲,,,,とどまるマンション,三鷹市上連雀4丁目
ファインスクェア武蔵野リアン,三鷹,12,三鷹:12,分譲,2023,5,2849,とどまるマンション／建築物環境計画書,"武蔵野市西久保三丁目395-2,6"
ジオ杉並松庵,三鷹台,7,三鷹台:7|久我山:12|西荻窪:14,分譲,2022,3,6447,建築物環境計画書,杉並区松庵一丁目12番1 (地名地番)
久我山ガーデンヒルズ一番館,三鷹台,12,三鷹台:12,分譲,,,,とどまるマンション,三鷹市牟礼2丁目
久我山ガーデンヒルズ二番館,三鷹台,12,三鷹台:12,分譲,,,,とどまるマンション,三鷹市牟礼2丁目
パークホームズ上板橋,上板橋,4,上板橋:4|東武練馬:13,分譲,2025,9,12317,建築物環境計画書,板橋区上板橋2丁目316番1(地番)
ライオンズマンション上板橋,上板橋,4,上板橋:4|東武練馬:13,分譲,,,,とどまるマンション,板橋区上板橋2丁目
パークホームズ城北中央公園,上板橋,7,上板橋:7|ときわ台:12,分譲,2025,7,2996,建築物環境計画書,板橋区桜川二丁目17番10号
パーク・エステート上板橋,上板橋,8,上板橋:8|東武練馬:11,分譲,,,,とどまるマンション,板橋区若木1丁目
プライムガーデン若木,上板橋,8,上板橋:8|東武練馬:11,賃貸,2024,5,7580,建築物環境計画書,板橋区若木一丁目27番38号
桜館,上町,7,上町:7|経堂:9|世田谷:11|豪徳寺:13,分譲,,,,とどまるマンション,世田谷区桜1丁目
Brillia City 石神井公園 ATLAS 1号棟,上石神井,3,上石神井:3|上井草:14,分譲,2023,8,8109,建築物環境計画書,練馬区上石神井3-19-1
Brillia City 石神井公園 ATLAS 2号棟,上石神井,3,上石神井:3|上井草:14,分譲,2023,8,8938,建築物環境計画書,練馬区上石神井3-19-2
Brillia City 石神井公園 ATLAS 3号棟,上石神井,3,上石神井:3|上井草:14,分譲,2023,8,9891,建築物環境計画書,練馬区上石神井3-19-3
Brillia City 石神井公園 ATLAS 4号棟,上石神井,3,上石神井:3|上井草:14,分譲,2023,8,9923,建築物環境計画書,練馬区上石神井3-19-4
Brillia City 石神井公園 ATLAS 5号棟,上石神井,3,上石神井:3|上井草:14,分譲,2023,8,9546,建築物環境計画書,練馬区上石神井3-19-5
Brillia City 石神井公園 ATLAS 6号棟,上石神井,3,上石神井:3|上井草:14,分譲,2023,8,8201,建築物環境計画書,練馬区上石神井3-19-6
Brillia City 石神井公園 ATLAS 7号棟,上石神井,3,上石神井:3|上井草:14,分譲,2023,8,9938,建築物環境計画書,練馬区上石神井3-19-7
Brillia City 石神井公園 ATLAS 8号棟,上石神井,3,上石神井:3|上井草:14,分譲,2023,7,3783,建築物環境計画書,練馬区上石神井3-19-8
ヴェレーナ上石神井,上石神井,3,上石神井:3|上井草:14,分譲,2025,6,2893,建築物環境計画書,練馬区上石神井一丁目347番1
ベル・ジュール上石神井,上石神井,4,上石神井:4|上井草:9,,,,,とどまるマンション,練馬区上石神井二丁目
グランコルサ,上石神井,5,上石神井:5|上井草:10,賃貸,2024,6,2579,建築物環境計画書,練馬区上石神井南町11-22
ザ・パークハウス上石神井レジデンス,上石神井,7,上石神井:7|武蔵関:11,分譲,,,,とどまるマンション,練馬区上石神井4丁目
コスモ上野パークサイドシティ,上野,5,上野:5|稲荷町:7|鶯谷:8|入谷:9|新御徒町:13,分譲,,,,とどまるマンション,台東区上野7丁目
JP noie 等々力,上野毛,6,上野毛:6|等々力:6|尾山台:13,賃貸,2024,8,6216,建築物環境計画書,世田谷区中町2丁目1番2
LIBR GRANT 世田谷等々力,上野毛,8,上野毛:8|等々力:11,賃貸,2022,3,3221,建築物環境計画書,世田谷区中町三丁目3番7号
ザ・パークハウス 上野毛テラス,上野毛,9,上野毛:9|等々力:14,分譲,2023,5,2213,建築物環境計画書,世田谷区中町4丁目37番8号
パークハウス多摩川北街区,下丸子,8,下丸子:8|鵜の木:9|千鳥町:15|武蔵新田:15,分譲,,,,とどまるマンション,大田区下丸子4丁目
パークハウス多摩川南街区 五番館,下丸子,8,下丸子:8|鵜の木:9|千鳥町:15|武蔵新田:15,分譲,,,,とどまるマンション,大田区下丸子4丁目
パークハウス多摩川南街区 参番館,下丸子,8,下丸子:8|鵜の木:9|千鳥町:15|武蔵新田:15,分譲,,,,とどまるマンション,大田区下丸子4丁目
パークハウス多摩川南街区 四番館,下丸子,8,下丸子:8|鵜の木:9|千鳥町:15|武蔵新田:15,分譲,,,,とどまるマンション,大田区下丸子4丁目
パークハウス多摩川南街区 壱番館,下丸子,8,下丸子:8|鵜の木:9|千鳥町:15|武蔵新田:15,分譲,,,,とどまるマンション,大田区下丸子4丁目
パークハウス多摩川南街区 弐番館,下丸子,8,下丸子:8|鵜の木:9|千鳥町:15|武蔵新田:15,分譲,,,,とどまるマンション,大田区下丸子4丁目
パレステージ鷺宮,下井草,4,下井草:4|鷺ノ宮:13|富士見台:15,分譲,2023,3,4234,建築物環境計画書,中野区 鷺宮六丁目 28番2号(住居表示)
菱和パレス下北沢駅前,下北沢,2,下北沢:2|池ノ上:6|東北沢:7|世田谷代田:9|東松原:14,分譲,,,,とどまるマンション,世田谷区北沢2丁目
シャールレーク大井桜通り,下神明,3,下神明:3|大井町:9|西大井:9|戸越公園:10,分譲,,,,とどまるマンション,品川区二葉1丁目
ZOOM高田馬場WEST,下落合,4,下落合:4|高田馬場:8|中井:13|落合:13|目白:15,分譲,2022,6,2093,建築物環境計画書,新宿区高田馬場三丁目518番1他
グランハイツ高田馬場,下落合,4,下落合:4|高田馬場:8|中井:13|落合:13|目白:15,賃貸,,,,とどまるマンション,新宿区高田馬場3丁目
ZOOM高田馬場,下落合,5,下落合:5|高田馬場:6|目白:11,分譲,2022,10,2999,建築物環境計画書,新宿区下落合1丁目11番6号
PRIME GARDEN 赤塚,下赤塚,5,下赤塚:5|地下鉄赤塚:6,賃貸,2025,6,3057,建築物環境計画書,板橋区赤塚一丁目6番6号
The Park Hive 板橋赤塚,下赤塚,7,下赤塚:7|地下鉄赤塚:7|成増:10|地下鉄成増:11,賃貸,2022,5,4835,建築物環境計画書,板橋区赤塚二丁目23番9号(住居表示)
エクセル徳丸,下赤塚,10,下赤塚:10|地下鉄赤塚:11|東武練馬:12,賃貸,,,,とどまるマンション,板橋区徳丸4丁目
プレミスト不動前,不動前,2,不動前:2|大崎広小路:10|戸越銀座:11|武蔵小山:12|五反田:12,分譲,,,,とどまるマンション,品川区西五反田5丁目
東急ドエル・アルス目黒不動前,不動前,2,不動前:2|大崎広小路:10|戸越銀座:11|武蔵小山:12|五反田:12,分譲,,,,とどまるマンション,品川区西五反田5丁目
グランドメゾン不動前,不動前,5,不動前:5|武蔵小山:7|戸越銀座:10|戸越:13|大崎広小路:13,分譲,,,,とどまるマンション,品川区小山一丁目
アンフォーラメグロ鈴木,不動前,6,不動前:6|目黒:6|五反田:8|大崎広小路:10,賃貸,,,,とどまるマンション,品川区西五反田3丁目
パークハビオ目黒リバーサイド,不動前,6,不動前:6|目黒:6|五反田:8|大崎広小路:10,賃貸,,,,とどまるマンション,品川区西五反田3丁目
プラウドタワー目黒MARC,不動前,6,不動前:6|目黒:6|五反田:8|大崎広小路:10,分譲,2023,32,36593,建築物環境計画書,品川区西五反田3丁目247番18
エクセル世田谷,世田谷,3,世田谷:3|上町:4|松陰神社前:8|若林:14|桜新町:14,賃貸,,,,とどまるマンション,世田谷区世田谷1丁目
欅ハウス,世田谷,3,世田谷:3|松陰神社前:4|上町:7|若林:9|豪徳寺:13,分譲,,,,とどまるマンション,世田谷区世田谷4丁目
パーク・ホームズ桜新町ガーデンズコート,世田谷,8,世田谷:8|松陰神社前:9|上町:9|桜新町:12|駒沢大学:12,分譲,,,,とどまるマンション,世田谷区弦巻1丁目
ステラメゾン下北沢,世田谷代田,3,世田谷代田:3|下北沢:5|東松原:8|池ノ上:12|東北沢:13,賃貸,,,,とどまるマンション,世田谷区代田5丁目
シティハウス世田谷代田,世田谷代田,7,世田谷代田:7|東松原:12|若林:12|豪徳寺:12|下北沢:14,分譲,,,,とどまるマンション,世田谷区代田3丁目
オープンレジデンシア下北沢コート,世田谷代田,8,世田谷代田:8|若林:10|下北沢:13|三軒茶屋:14|松陰神社前:15,分譲,2022,3,2025,建築物環境計画書,世田谷区代田5-959番4(地番)
クレヴィア両国 国技館通り,両国,3,両国:3|浅草橋:8|東日本橋:9|浜町:9|森下:10,分譲,2022,14,4334,建築物環境計画書,墨田区両国二丁目15番4号
プラウドフラット両国II,両国,3,両国:3|森下:9|浜町:10|浅草橋:10|東日本橋:11,賃貸,,,,とどまるマンション,墨田区両国三丁目
ミリアレジデンス両国II,両国,3,両国:3|森下:9|浜町:10|浅草橋:10|東日本橋:11,賃貸,,,,とどまるマンション,墨田区両国3丁目
アーバネックス両国,両国,4,両国:4|浅草橋:6|東日本橋:6|浜町:8|馬喰横山:8,賃貸,2022,14,2260,建築物環境計画書,墨田区両国一丁目16番3
ミリアレジデンス両国,両国,4,両国:4|浅草橋:6|東日本橋:6|浜町:8|馬喰横山:8,賃貸,,,,とどまるマンション,墨田区両国1丁目
オーベルアーバンツ両国,両国,7,両国:7|森下:9|菊川:11|浜町:15,分譲,2023,14,2284,建築物環境計画書,墨田区緑一丁目6番4
ジオエント錦糸町,両国,7,両国:7|蔵前:12|森下:13|浅草橋:14|菊川:15,賃貸,2021,7,2859,建築物環境計画書,墨田区亀沢4-20-10
パークアクシス両国スクエア,両国,7,両国:7|森下:9|菊川:11|浜町:15,賃貸,2022,13,3019,建築物環境計画書,墨田区緑一丁目16番4号(住居表示)
プラウドフラット両国,両国,7,両国:7|森下:9|菊川:11|浜町:15,賃貸,,,,とどまるマンション,墨田区緑一丁目
ルジェンテ両国,両国,10,両国:10|菊川:14|森下:14|蔵前:14,分譲,2024,7,3286,建築物環境計画書,墨田区亀沢2丁目19-4
GRAN PASEO両国IV,両国,11,両国:11|本所吾妻橋:12|蔵前:13,分譲,2025,7,2899,建築物環境計画書,墨田区石原二丁目21番3 他11筆
プラウド両国,両国,11,両国:11|本所吾妻橋:12|蔵前:13,分譲,,,,とどまるマンション,墨田区石原2丁目
クレヴィア新宿中落合 EAST,中井,5,中井:5|下落合:6|落合:10|落合南長崎:11|椎名町:14,分譲,2023,6,2912,建築物環境計画書,新宿区中落合1丁目1127番9号
クレヴィア新宿中落合 WEST,中井,5,中井:5|下落合:6|落合:10|落合南長崎:11|椎名町:14,分譲,2023,7,2532,建築物環境計画書,新宿区中落合1丁目1127番15号
パルテメゾン中落合,中井,5,中井:5|下落合:6|落合:10|落合南長崎:11|椎名町:14,賃貸,2023,9,4653,建築物環境計画書,新宿区中落合1丁目1番4
Bonneur,中央大学・明星大学,7,中央大学・明星大学:7,賃貸,,,,とどまるマンション,八王子市東中野
エクレール小林,中央大学・明星大学,7,中央大学・明星大学:7,賃貸,,,,とどまるマンション,八王子市東中野
ドラゴンマンション多摩学園都市伍番館,中央大学・明星大学,7,中央大学・明星大学:7,,,,,とどまるマンション,八王子市東中野
ルピナス1,中央大学・明星大学,7,中央大学・明星大学:7,賃貸,,,,とどまるマンション,八王子市東中野
ルピナス10,中央大学・明星大学,7,中央大学・明星大学:7,賃貸,,,,とどまるマンション,八王子市東中野
ルピナス5,中央大学・明星大学,7,中央大学・明星大学:7,賃貸,,,,とどまるマンション,八王子市東中野
ルピナス7,中央大学・明星大学,7,中央大学・明星大学:7,賃貸,,,,とどまるマンション,八王子市東中野
ルピナス8,中央大学・明星大学,7,中央大学・明星大学:7,賃貸,,,,とどまるマンション,八王子市東中野
オープンレジデンシア品川中延ステーションフロント,中延,2,中延:2|荏原中延:3|戸越公園:6|荏原町:8|戸越:10,分譲,2022,8,2984,建築物環境計画書,品川区東中延2丁目439番1 他
TOMORE品川中延,中延,4,中延:4|戸越公園:6|西大井:8|荏原中延:8|荏原町:9,賃貸,2025,11,2415,建築物環境計画書,"品川区豊町六丁目607番11,12,13,14,15,16"
ミリアレジデンス品川中延,中延,6,中延:6|西大井:7|戸越公園:9|荏原町:9|馬込:9,賃貸,,,,とどまるマンション,品川区二葉4丁目
クレヴィア練馬中村橋,中村橋,3,中村橋:3|富士見台:11|豊島園:13,分譲,,,,とどまるマンション,練馬区中村北3丁目
プラウド練馬中村橋マークス,中村橋,5,中村橋:5|富士見台:9|豊島園:14,分譲,2022,7,15324,建築物環境計画書,練馬区貫井2丁目239番1他(地名地番)
ベルメゾン中村橋ノース,中村橋,6,中村橋:6|豊島園:11|練馬:12,賃貸,2026,3,2096,建築物環境計画書,練馬区中村北2丁目20-8
アジールコート練馬中村橋,中村橋,7,中村橋:7|富士見台:11|鷺ノ宮:13|都立家政:15,賃貸,2025,4,6094,建築物環境計画書,練馬区中村三丁目39番14号
オーパスレジデンス中板橋,中板橋,4,中板橋:4|大山:11|板橋本町:11|ときわ台:11|板橋区役所前:15,分譲,2023,13,4651,建築物環境計画書,板橋区中板橋22番10号
ジオ板橋大山,中板橋,6,中板橋:6|大山:8|ときわ台:13|板橋区役所前:14|板橋本町:15,分譲,2025,10,22391,建築物環境計画書,板橋区仲町2番1
レーベン板橋大山ART BLANGE,中板橋,6,中板橋:6|大山:8|ときわ台:13|板橋区役所前:14|板橋本町:15,分譲,2024,6,2778,建築物環境計画書,板橋区仲町3番49(地名地番)
リヴェール府中・中河原,中河原,3,中河原:3|西府:14|分倍河原:15,分譲,,,,とどまるマンション,府中市住吉町1丁目
リーベスト府中多摩川,中河原,6,中河原:6,分譲,,,,とどまるマンション,府中市住吉町5丁目
ザ・パークハウス 聖蹟桜ヶ丘,中河原,14,中河原:14,分譲,2023,15,3689,建築物環境計画書,多摩市関戸2丁目69番8
ファインスクェア聖蹟桜ヶ丘,中河原,14,中河原:14,分譲,2023,14,2029,建築物環境計画書,多摩市関戸二丁目70番5(地番)
ブランズ上目黒諏訪山,中目黒,4,中目黒:4|祐天寺:10|代官山:11|池尻大橋:15,分譲,2022,3,4684,建築物環境計画書,目黒区上目黒三丁目31番6号
LIVSUS NM3319,中目黒,5,中目黒:5|代官山:6|恵比寿:8,賃貸,2021,3,195,建築物環境計画書,目黒区中目黒3-3-19
レガシス中目黒,中目黒,5,中目黒:5|祐天寺:8|代官山:12,賃貸,2024,14,7750,建築物環境計画書,目黒区上目黒二丁目9-3
グランドメゾン中目黒THECLASS,中目黒,6,中目黒:6|祐天寺:11|代官山:12|恵比寿:13,分譲,,,,とどまるマンション,目黒区中目黒3丁目
ジオ代官山,中目黒,6,中目黒:6|代官山:7|神泉:13|恵比寿:13|池尻大橋:14,分譲,,,,とどまるマンション,目黒区青葉台1丁目
オープンレジデンシア目黒東山,中目黒,7,中目黒:7|池尻大橋:11|代官山:12|祐天寺:13|神泉:15,分譲,2024,4,3063,建築物環境計画書,目黒区東山2-1115-2
サンロイヤル東山,中目黒,7,中目黒:7|池尻大橋:11|代官山:12|祐天寺:13|神泉:15,分譲,,,,とどまるマンション,目黒区東山一丁目
中目黒ウエスト,中目黒,7,中目黒:7|池尻大橋:11|代官山:12|祐天寺:13|神泉:15,分譲,,,,とどまるマンション,目黒区東山1丁目
プレイシア,中神,7,中神:7|昭島:13,分譲,,,,とどまるマンション,昭島市宮沢町
中野 則子 邸,中神,7,中神:7|東中神:9,賃貸,2023,3,22085,建築物環境計画書,昭島市玉川町五丁目833番、834番2の各一部
パークシティ中野 ザ タワー ブリーズ,中野,5,中野:5|高円寺:14|東高円寺:14,分譲,2025,20,29295,建築物環境計画書,中野区中野四丁目102番
中野M-SQUARE・パークシティ中野 ザ タワー エアーズ,中野,5,中野:5|高円寺:14|東高円寺:14,分譲,2026,25,91384,建築物環境計画書,中野区中野四丁目14番1号
ルフォンプログレ中野坂上,中野坂上,4,中野坂上:4|西新宿五丁目:6|西新宿:10|都庁前:11|中野新橋:12,賃貸,2023,6,2203,建築物環境計画書,中野区本町一丁目13-6
中野坂上パーク・ホームズ,中野坂上,5,中野坂上:5|西新宿:10|東中野:12|西新宿五丁目:13|大久保:13,分譲,,,,とどまるマンション,中野区中央1丁目
アコルト中野富士見町,中野富士見町,4,中野富士見町:4|中野新橋:10|方南町:12|新中野:13,賃貸,2023,14,7257,建築物環境計画書,中野区弥生町5丁目25番13号
クレストコート中野富士見町,中野富士見町,4,中野富士見町:4|中野新橋:10|方南町:12|新中野:13,賃貸,2025,9,4037,建築物環境計画書,中野区弥生町五丁目27番4号
マイネシュロッス中野コリドー,中野富士見町,4,中野富士見町:4|中野新橋:10|方南町:12|新中野:13,分譲,,,,とどまるマンション,中野区弥生町5丁目
メトロステージPLUS 中野弥生町,中野富士見町,4,中野富士見町:4|中野新橋:10|方南町:12|新中野:13,賃貸,2024,7,5541,建築物環境計画書,中野区弥生町5丁目9-11
ルフォンプログレ 中野富士見町 ザ・レジデンス,中野富士見町,4,中野富士見町:4|新中野:10|東高円寺:11|中野新橋:12|方南町:13,賃貸,2021,3,2568,建築物環境計画書,杉並区和田一丁目39番30号
グランドメゾン中野富士見町,中野富士見町,9,中野富士見町:9|方南町:9|中野新橋:14|笹塚:15,分譲,,,,とどまるマンション,中野区南台3丁目
ザ・パークハビオ中野富士見町ガーデン,中野新橋,1,中野新橋:1|中野富士見町:8|新中野:10|中野坂上:12|西新宿五丁目:12,賃貸,2023,14,4864,建築物環境計画書,中野区弥生町2丁目69-1、-8、-11、-12、-13
バウス新中野,中野新橋,4,中野新橋:4|中野富士見町:5|新中野:7|中野坂上:14,分譲,2022,13,2646,建築物環境計画書,中野区本町五丁目33番2
クレヴィア中野新橋,中野新橋,6,中野新橋:6|西新宿五丁目:7|中野坂上:10|中野富士見町:13,分譲,2024,9,2501,建築物環境計画書,中野区弥生町一丁目54番7号
