name,st,min,near,use,year,floors,area,src,addr
オープンレジデンシア大崎,大崎広小路,3,大崎広小路:3|大崎:7|五反田:8|戸越銀座:10|戸越:10,分譲,2021,5,3313,とどまるマンション／建築物環境計画書,品川区大崎4丁目5番27号
ヴェール・クレール大崎,大崎広小路,3,大崎広小路:3|大崎:7|五反田:8|戸越銀座:10|戸越:10,賃貸,2023,9,9717,建築物環境計画書,品川区大崎4丁目12番22号(住居表示)
大崎広小路・志田マンション,大崎広小路,3,大崎広小路:3|大崎:7|五反田:8|戸越銀座:10|戸越:10,賃貸,2023,8,2247,建築物環境計画書,品川区大崎四丁目182-1
RJRプレシア大森北,大森,3,大森:3|大森海岸:7|平和島:13,賃貸,2024,7,5663,建築物環境計画書,大田区大森北5-4-17
ザ・パークハウス大森タワー,大森,3,大森:3|大森海岸:7|平和島:13,分譲,2024,24,8143,建築物環境計画書,大田区大森北1丁目11番9
ザ・パークハビオ 大森山王,大森,3,大森:3|大森海岸:12,賃貸,2025,17,5827,建築物環境計画書,大田区山王二丁目3番10号
パークタワー大森,大森,3,大森:3|大森海岸:7|平和島:13,分譲,2026,23,8272,建築物環境計画書,大田区大森北一丁目30番17
プライムアーバン大森,大森,3,大森:3|大森海岸:7|平和島:13,賃貸,,,,とどまるマンション,大田区大森北1丁目
プラウド山王二丁目,大森,3,大森:3|大森海岸:12,分譲,2022,9,2046,建築物環境計画書,大田区山王二丁目12番17
ベルファース大森サウス,大森,3,大森:3|大森海岸:7|平和島:13,賃貸,2023,13,3316,建築物環境計画書,大田区大森北一丁目34番9
プラウドフラット大森III,大森,5,大森:5|大森海岸:6|立会川:14,賃貸,,,,とどまるマンション,品川区南大井6丁目
ベルファース大森山王,大森,6,大森:6|大森海岸:13|西大井:14,賃貸,2023,3,2288,建築物環境計画書,大田区山王一丁目38番14号
オーベル山王,大森,7,大森:7,分譲,,,,とどまるマンション,大田区山王4丁目
ザ・グローベル大森山王,大森,8,大森:8,分譲,,,,とどまるマンション,大田区山王3丁目
ピアース大森山王3丁目,大森,8,大森:8,分譲,2022,13,2994,建築物環境計画書,大田区山王3丁目1475番1号他5筆
プラウド山王,大森,8,大森:8,分譲,,,,とどまるマンション,大田区山王3丁目
ガーラ・ステーション大森海岸,大森海岸,4,大森海岸:4|大森:8|立会川:13,賃貸,2023,15,2564,建築物環境計画書,品川区南大井3丁目31番9号
大森海岸パークハウス,大森海岸,5,大森海岸:5|平和島:9|大森:12,分譲,,,,とどまるマンション,大田区大森本町1丁目
東京マスタープレイス,大森海岸,5,大森海岸:5|平和島:9|大森:12,分譲,,,,とどまるマンション,大田区大森本町1丁目
エンゼルハイム大森町壱番館,大森町,2,大森町:2|梅屋敷:8|平和島:11,分譲,,,,とどまるマンション,大田区大森中1丁目
ザ・パークハビオ大森町,大森町,2,大森町:2|梅屋敷:8|平和島:11,賃貸,2025,15,3507,建築物環境計画書,大田区大森中1丁目2番26号
ASYL COURT 大森西,大森町,5,大森町:5|梅屋敷:5|平和島:14|京急蒲田:14,分譲,2022,8,2422,建築物環境計画書,大田区大森西5丁目89-1、-2
イニシア大森町N&#8217;sスクエア,大森町,5,大森町:5|梅屋敷:5|平和島:14|京急蒲田:14,,,,,とどまるマンション,大田区大森西五丁目
ARKMARK大森町ASYLCOURT,大森町,11,大森町:11|平和島:12,賃貸,2022,14,2057,建築物環境計画書,大田区大森西5-30-4
アールブラン大森レジデンス,大森町,11,大森町:11|平和島:12,分譲,2024,8,7219,建築物環境計画書,大田区大森西一丁目9番10号
オープンレジデンシア大泉学園,大泉学園,6,大泉学園:6,分譲,2025,8,2813,建築物環境計画書,"練馬区東大泉4丁目741番1,743番1,3"
ギャラリーコート大泉学園ヒルズ,大泉学園,6,大泉学園:6,分譲,,,,とどまるマンション,練馬区東大泉5丁目
クレヴィア大泉学園,大泉学園,6,大泉学園:6,分譲,2023,5,5218,建築物環境計画書,練馬区東大泉一丁目465番1他
プラウド大泉学園サウスフロント,大泉学園,6,大泉学園:6,分譲,2023,5,2647,建築物環境計画書,練馬区東大泉五丁目 30番 22号
ルーウェ東大泉,大泉学園,11,大泉学園:11,賃貸,2025,6,6431,建築物環境計画書,練馬区東大泉二丁目1番18号
グリーンブリーズ萩中公園パークウイング,大鳥居,3,大鳥居:3|糀谷:10|穴守稲荷:11,分譲,,,,とどまるマンション,大田区萩中3丁目
アルファコート西糀谷,大鳥居,4,大鳥居:4|糀谷:8|穴守稲荷:13,賃貸,2023,6,2154,建築物環境計画書,"大田区西糀谷三丁目674番1,674番2"
イニシア大田糀谷,大鳥居,4,大鳥居:4|糀谷:8|穴守稲荷:13,分譲,2026,8,4661,建築物環境計画書,大田区西糀谷三丁目5番19号
エクセルダイア西糀谷II,大鳥居,4,大鳥居:4|糀谷:8|穴守稲荷:13,分譲,,,,とどまるマンション,大田区西糀谷3丁目
ブランシエスタ大鳥居,大鳥居,4,大鳥居:4|穴守稲荷:10|糀谷:13,賃貸,2023,15,10951,建築物環境計画書,大田区東糀谷二丁目13-17
ルネ南大田,大鳥居,4,大鳥居:4|穴守稲荷:10|糀谷:13,分譲,,,,とどまるマンション,大田区東糀谷二丁目
ORSUS 大鳥居,大鳥居,9,大鳥居:9|糀谷:14|穴守稲荷:14,賃貸,2023,14,3876,建築物環境計画書,大田区東糀谷1丁目1番27号
イニシア多摩川,大鳥居,13,大鳥居:13|糀谷:13,分譲,,,,とどまるマンション,大田区本羽田2丁目
エルズ大森,大鳥居,15,大鳥居:15,分譲,,,,とどまるマンション,大田区大森南2丁目
品川イーストシティタワー,天王洲アイル,6,天王洲アイル:6,分譲,,,,とどまるマンション,品川区東品川5丁目
シティタワー品川,天王洲アイル,7,天王洲アイル:7|品川:13|北品川:14,分譲,,,,とどまるマンション,港区港南4丁目
