muni,muni_code,q_count,first_q,last_q,chg_1y,chg_3y,chg_5y,chg_10y,chg_all,cagr_10y,vol,cnt_chg_5y,trend_json
大田区,13111,83,2005Q3,2026Q1,1.5,8.1,11.7,35.4,72.5,3.08,4.4,53.3,"[{""y"":2016,""q"":2,""v"":700000,""n"":228},{""y"":2016,""q"":3,""v"":714286,""n"":247},{""y"":2016,""q"":4,""v"":727273,""n"":223},{""y"":2017,""q"":1,""v"":694118,""n"":249},{""y"":2017,""q"":2,""v"":707879,""n"":204},{""y"":2017,""q"":3,""v"":720000,""n"":247},{""y"":2017,""q"":4,""v"":733333,""n"":280},{""y"":2018,""q"":1,""v"":733333,""n"":280},{""y"":2018,""q"":2,""v"":733333,""n"":265},{""y"":2018,""q"":3,""v"":752941,""n"":271},{""y"":2018,""q"":4,""v"":800000,""n"":285},{""y"":2019,""q"":1,""v"":745455,""n"":253},{""y"":2019,""q"":2,""v"":750000,""n"":259},{""y"":2019,""q"":3,""v"":769231,""n"":251},{""y"":2019,""q"":4,""v"":771429,""n"":286},{""y"":2020,""q"":1,""v"":800000,""n"":326},{""y"":2020,""q"":2,""v"":800000,""n"":235},{""y"":2020,""q"":3,""v"":800000,""n"":317},{""y"":2020,""q"":4,""v"":833333,""n"":295},{""y"":2021,""q"":1,""v"":750000,""n"":502},{""y"":2021,""q"":2,""v"":765152,""n"":498},{""y"":2021,""q"":3,""v"":752778,""n"":470},{""y"":2021,""q"":4,""v"":800000,""n"":504},{""y"":2022,""q"":1,""v"":789474,""n"":493},{""y"":2022,""q"":2,""v"":807143,""n"":462},{""y"":2022,""q"":3,""v"":800000,""n"":494},{""y"":2022,""q"":4,""v"":846154,""n"":435},{""y"":2023,""q"":1,""v"":850000,""n"":435},{""y"":2023,""q"":2,""v"":850000,""n"":483},{""y"":2023,""q"":3,""v"":850000,""n"":471},{""y"":2023,""q"":4,""v"":840000,""n"":447},{""y"":2024,""q"":1,""v"":824265,""n"":484},{""y"":2024,""q"":2,""v"":850000,""n"":546},{""y"":2024,""q"":3,""v"":900000,""n"":517},{""y"":2024,""q"":4,""v"":880128,""n"":518},{""y"":2025,""q"":1,""v"":880000,""n"":638},{""y"":2025,""q"":2,""v"":853333,""n"":605},{""y"":2025,""q"":3,""v"":920000,""n"":539},{""y"":2025,""q"":4,""v"":953846,""n"":537},{""y"":2026,""q"":1,""v"":866667,""n"":387}]"
世田谷区,13112,83,2005Q3,2026Q1,6.0,16.9,22.3,43.7,71.3,3.69,4.7,79.0,"[{""y"":2016,""q"":2,""v"":760000,""n"":228},{""y"":2016,""q"":3,""v"":787500,""n"":229},{""y"":2016,""q"":4,""v"":733333,""n"":206},{""y"":2017,""q"":1,""v"":800000,""n"":218},{""y"":2017,""q"":2,""v"":772381,""n"":208},{""y"":2017,""q"":3,""v"":800000,""n"":205},{""y"":2017,""q"":4,""v"":800000,""n"":193},{""y"":2018,""q"":1,""v"":800000,""n"":209},{""y"":2018,""q"":2,""v"":813393,""n"":200},{""y"":2018,""q"":3,""v"":841429,""n"":218},{""y"":2018,""q"":4,""v"":828571,""n"":225},{""y"":2019,""q"":1,""v"":769231,""n"":199},{""y"":2019,""q"":2,""v"":859822,""n"":224},{""y"":2019,""q"":3,""v"":825000,""n"":203},{""y"":2019,""q"":4,""v"":822876,""n"":220},{""y"":2020,""q"":1,""v"":874176,""n"":270},{""y"":2020,""q"":2,""v"":857143,""n"":194},{""y"":2020,""q"":3,""v"":876923,""n"":273},{""y"":2020,""q"":4,""v"":887302,""n"":260},{""y"":2021,""q"":1,""v"":821111,""n"":550},{""y"":2021,""q"":2,""v"":857143,""n"":580},{""y"":2021,""q"":3,""v"":832051,""n"":524},{""y"":2021,""q"":4,""v"":893726,""n"":536},{""y"":2022,""q"":1,""v"":906667,""n"":633},{""y"":2022,""q"":2,""v"":885714,""n"":528},{""y"":2022,""q"":3,""v"":914286,""n"":500},{""y"":2022,""q"":4,""v"":900000,""n"":536},{""y"":2023,""q"":1,""v"":950000,""n"":538},{""y"":2023,""q"":2,""v"":971429,""n"":531},{""y"":2023,""q"":3,""v"":950000,""n"":504},{""y"":2023,""q"":4,""v"":986667,""n"":509},{""y"":2024,""q"":1,""v"":960000,""n"":565},{""y"":2024,""q"":2,""v"":1000000,""n"":512},{""y"":2024,""q"":3,""v"":992857,""n"":504},{""y"":2024,""q"":4,""v"":1013810,""n"":534},{""y"":2025,""q"":1,""v"":1000000,""n"":653},{""y"":2025,""q"":2,""v"":1007693,""n"":656},{""y"":2025,""q"":3,""v"":1066667,""n"":622},{""y"":2025,""q"":4,""v"":1053939,""n"":564},{""y"":2026,""q"":1,""v"":1089899,""n"":444}]"
渋谷区,13113,83,2005Q3,2026Q1,8.2,29.6,40.2,61.8,122.7,4.93,6.4,98.0,"[{""y"":2016,""q"":2,""v"":1000000,""n"":121},{""y"":2016,""q"":3,""v"":973334,""n"":120},{""y"":2016,""q"":4,""v"":1000000,""n"":90},{""y"":2017,""q"":1,""v"":1050000,""n"":124},{""y"":2017,""q"":2,""v"":1000000,""n"":93},{""y"":2017,""q"":3,""v"":1000000,""n"":101},{""y"":2017,""q"":4,""v"":1073334,""n"":106},{""y"":2018,""q"":1,""v"":1100000,""n"":105},{""y"":2018,""q"":2,""v"":1085455,""n"":106},{""y"":2018,""q"":3,""v"":1112500,""n"":118},{""y"":2018,""q"":4,""v"":1141667,""n"":126},{""y"":2019,""q"":1,""v"":1120000,""n"":101},{""y"":2019,""q"":2,""v"":1118334,""n"":142},{""y"":2019,""q"":3,""v"":1100000,""n"":129},{""y"":2019,""q"":4,""v"":1080000,""n"":129},{""y"":2020,""q"":1,""v"":1179798,""n"":142},{""y"":2020,""q"":2,""v"":1100000,""n"":93},{""y"":2020,""q"":3,""v"":1247222,""n"":138},{""y"":2020,""q"":4,""v"":1207693,""n"":158},{""y"":2021,""q"":1,""v"":1100000,""n"":266},{""y"":2021,""q"":2,""v"":1166667,""n"":302},{""y"":2021,""q"":3,""v"":1200000,""n"":286},{""y"":2021,""q"":4,""v"":1150000,""n"":303},{""y"":2022,""q"":1,""v"":1200000,""n"":271},{""y"":2022,""q"":2,""v"":1230952,""n"":320},{""y"":2022,""q"":3,""v"":1216667,""n"":237},{""y"":2022,""q"":4,""v"":1266667,""n"":277},{""y"":2023,""q"":1,""v"":1266667,""n"":236},{""y"":2023,""q"":2,""v"":1342857,""n"":311},{""y"":2023,""q"":3,""v"":1326667,""n"":302},{""y"":2023,""q"":4,""v"":1333333,""n"":298},{""y"":2024,""q"":1,""v"":1476191,""n"":308},{""y"":2024,""q"":2,""v"":1428571,""n"":306},{""y"":2024,""q"":3,""v"":1458572,""n"":282},{""y"":2024,""q"":4,""v"":1533333,""n"":279},{""y"":2025,""q"":1,""v"":1533333,""n"":312},{""y"":2025,""q"":2,""v"":1576389,""n"":348},{""y"":2025,""q"":3,""v"":1647059,""n"":357},{""y"":2025,""q"":4,""v"":1600000,""n"":341},{""y"":2026,""q"":1,""v"":1636364,""n"":251}]"
中野区,13114,83,2005Q3,2026Q1,6.4,17.1,21.2,46.8,58.7,3.91,6.9,110.0,"[{""y"":2016,""q"":2,""v"":820000,""n"":89},{""y"":2016,""q"":3,""v"":760000,""n"":97},{""y"":2016,""q"":4,""v"":800000,""n"":104},{""y"":2017,""q"":1,""v"":746061,""n"":98},{""y"":2017,""q"":2,""v"":885455,""n"":82},{""y"":2017,""q"":3,""v"":800000,""n"":90},{""y"":2017,""q"":4,""v"":815385,""n"":85},{""y"":2018,""q"":1,""v"":800000,""n"":93},{""y"":2018,""q"":2,""v"":833333,""n"":103},{""y"":2018,""q"":3,""v"":850000,""n"":80},{""y"":2018,""q"":4,""v"":900000,""n"":117},{""y"":2019,""q"":1,""v"":840000,""n"":108},{""y"":2019,""q"":2,""v"":872078,""n"":86},{""y"":2019,""q"":3,""v"":920000,""n"":89},{""y"":2019,""q"":4,""v"":815000,""n"":94},{""y"":2020,""q"":1,""v"":905556,""n"":120},{""y"":2020,""q"":2,""v"":900000,""n"":72},{""y"":2020,""q"":3,""v"":880000,""n"":100},{""y"":2020,""q"":4,""v"":950000,""n"":110},{""y"":2021,""q"":1,""v"":846154,""n"":177},{""y"":2021,""q"":2,""v"":850000,""n"":241},{""y"":2021,""q"":3,""v"":883333,""n"":181},{""y"":2021,""q"":4,""v"":890000,""n"":214},{""y"":2022,""q"":1,""v"":888889,""n"":225},{""y"":2022,""q"":2,""v"":920000,""n"":173},{""y"":2022,""q"":3,""v"":922500,""n"":198},{""y"":2022,""q"":4,""v"":883333,""n"":203},{""y"":2023,""q"":1,""v"":955000,""n"":230},{""y"":2023,""q"":2,""v"":980543,""n"":194},{""y"":2023,""q"":3,""v"":950000,""n"":229},{""y"":2023,""q"":4,""v"":1000000,""n"":232},{""y"":2024,""q"":1,""v"":920000,""n"":258},{""y"":2024,""q"":2,""v"":942857,""n"":207},{""y"":2024,""q"":3,""v"":1050000,""n"":175},{""y"":2024,""q"":4,""v"":1071429,""n"":201},{""y"":2025,""q"":1,""v"":977778,""n"":273},{""y"":2025,""q"":2,""v"":1057273,""n"":238},{""y"":2025,""q"":3,""v"":1050000,""n"":240},{""y"":2025,""q"":4,""v"":1100000,""n"":272},{""y"":2026,""q"":1,""v"":1131373,""n"":214}]"
杉並区,13115,83,2005Q3,2026Q1,3.4,12.5,12.5,32.5,58.9,2.85,5.5,75.5,"[{""y"":2016,""q"":2,""v"":700000,""n"":143},{""y"":2016,""q"":3,""v"":757143,""n"":153},{""y"":2016,""q"":4,""v"":769048,""n"":152},{""y"":2017,""q"":1,""v"":800000,""n"":158},{""y"":2017,""q"":2,""v"":800000,""n"":138},{""y"":2017,""q"":3,""v"":830769,""n"":142},{""y"":2017,""q"":4,""v"":814286,""n"":141},{""y"":2018,""q"":1,""v"":815385,""n"":143},{""y"":2018,""q"":2,""v"":829670,""n"":144},{""y"":2018,""q"":3,""v"":800000,""n"":119},{""y"":2018,""q"":4,""v"":800000,""n"":139},{""y"":2019,""q"":1,""v"":800000,""n"":143},{""y"":2019,""q"":2,""v"":850000,""n"":137},{""y"":2019,""q"":3,""v"":826786,""n"":142},{""y"":2019,""q"":4,""v"":866667,""n"":143},{""y"":2020,""q"":1,""v"":857143,""n"":177},{""y"":2020,""q"":2,""v"":873864,""n"":124},{""y"":2020,""q"":3,""v"":866667,""n"":172},{""y"":2020,""q"":4,""v"":900000,""n"":183},{""y"":2021,""q"":1,""v"":800000,""n"":295},{""y"":2021,""q"":2,""v"":815477,""n"":366},{""y"":2021,""q"":3,""v"":850000,""n"":312},{""y"":2021,""q"":4,""v"":850000,""n"":313},{""y"":2022,""q"":1,""v"":850000,""n"":308},{""y"":2022,""q"":2,""v"":875000,""n"":322},{""y"":2022,""q"":3,""v"":836364,""n"":286},{""y"":2022,""q"":4,""v"":914286,""n"":295},{""y"":2023,""q"":1,""v"":866667,""n"":310},{""y"":2023,""q"":2,""v"":881177,""n"":282},{""y"":2023,""q"":3,""v"":920000,""n"":338},{""y"":2023,""q"":4,""v"":859412,""n"":308},{""y"":2024,""q"":1,""v"":933333,""n"":312},{""y"":2024,""q"":2,""v"":960000,""n"":323},{""y"":2024,""q"":3,""v"":933333,""n"":260},{""y"":2024,""q"":4,""v"":941176,""n"":315},{""y"":2025,""q"":1,""v"":953846,""n"":342},{""y"":2025,""q"":2,""v"":980000,""n"":319},{""y"":2025,""q"":3,""v"":950000,""n"":394},{""y"":2025,""q"":4,""v"":1000000,""n"":359},{""y"":2026,""q"":1,""v"":978889,""n"":286}]"
豊島区,13116,83,2005Q3,2026Q1,11.4,19.8,19.8,49.8,115.0,4.12,6.7,81.3,"[{""y"":2016,""q"":2,""v"":850000,""n"":109},{""y"":2016,""q"":3,""v"":900000,""n"":117},{""y"":2016,""q"":4,""v"":774243,""n"":134},{""y"":2017,""q"":1,""v"":872727,""n"":117},{""y"":2017,""q"":2,""v"":830769,""n"":123},{""y"":2017,""q"":3,""v"":850000,""n"":127},{""y"":2017,""q"":4,""v"":866667,""n"":116},{""y"":2018,""q"":1,""v"":900000,""n"":104},{""y"":2018,""q"":2,""v"":918182,""n"":134},{""y"":2018,""q"":3,""v"":935417,""n"":128},{""y"":2018,""q"":4,""v"":850000,""n"":120},{""y"":2019,""q"":1,""v"":900000,""n"":129},{""y"":2019,""q"":2,""v"":933333,""n"":153},{""y"":2019,""q"":3,""v"":888889,""n"":123},{""y"":2019,""q"":4,""v"":950000,""n"":133},{""y"":2020,""q"":1,""v"":1000000,""n"":147},{""y"":2020,""q"":2,""v"":1000000,""n"":99},{""y"":2020,""q"":3,""v"":1000000,""n"":115},{""y"":2020,""q"":4,""v"":1000000,""n"":132},{""y"":2021,""q"":1,""v"":945455,""n"":238},{""y"":2021,""q"":2,""v"":967949,""n"":248},{""y"":2021,""q"":3,""v"":950000,""n"":238},{""y"":2021,""q"":4,""v"":953846,""n"":263},{""y"":2022,""q"":1,""v"":950000,""n"":280},{""y"":2022,""q"":2,""v"":1000000,""n"":280},{""y"":2022,""q"":3,""v"":1046607,""n"":256},{""y"":2022,""q"":4,""v"":1000000,""n"":258},{""y"":2023,""q"":1,""v"":1000000,""n"":278},{""y"":2023,""q"":2,""v"":1000000,""n"":253},{""y"":2023,""q"":3,""v"":1000000,""n"":249},{""y"":2023,""q"":4,""v"":1028571,""n"":233},{""y"":2024,""q"":1,""v"":1100000,""n"":261},{""y"":2024,""q"":2,""v"":1050000,""n"":262},{""y"":2024,""q"":3,""v"":1052273,""n"":228},{""y"":2024,""q"":4,""v"":1133333,""n"":248},{""y"":2025,""q"":1,""v"":1100000,""n"":287},{""y"":2025,""q"":2,""v"":1080000,""n"":291},{""y"":2025,""q"":3,""v"":1160000,""n"":305},{""y"":2025,""q"":4,""v"":1253333,""n"":271},{""y"":2026,""q"":1,""v"":1236667,""n"":192}]"
北区,13117,83,2005Q3,2026Q1,10.4,18.2,38.1,66.8,110.6,5.25,6.9,80.9,"[{""y"":2016,""q"":2,""v"":600000,""n"":71},{""y"":2016,""q"":3,""v"":700000,""n"":91},{""y"":2016,""q"":4,""v"":636364,""n"":65},{""y"":2017,""q"":1,""v"":700000,""n"":64},{""y"":2017,""q"":2,""v"":683333,""n"":65},{""y"":2017,""q"":3,""v"":666667,""n"":73},{""y"":2017,""q"":4,""v"":775000,""n"":81},{""y"":2018,""q"":1,""v"":720000,""n"":100},{""y"":2018,""q"":2,""v"":777778,""n"":85},{""y"":2018,""q"":3,""v"":775525,""n"":74},{""y"":2018,""q"":4,""v"":761818,""n"":86},{""y"":2019,""q"":1,""v"":760000,""n"":99},{""y"":2019,""q"":2,""v"":763636,""n"":69},{""y"":2019,""q"":3,""v"":720000,""n"":88},{""y"":2019,""q"":4,""v"":710303,""n"":82},{""y"":2020,""q"":1,""v"":783333,""n"":130},{""y"":2020,""q"":2,""v"":714286,""n"":83},{""y"":2020,""q"":3,""v"":714286,""n"":111},{""y"":2020,""q"":4,""v"":708392,""n"":126},{""y"":2021,""q"":1,""v"":707692,""n"":203},{""y"":2021,""q"":2,""v"":771429,""n"":221},{""y"":2021,""q"":3,""v"":761250,""n"":194},{""y"":2021,""q"":4,""v"":785714,""n"":251},{""y"":2022,""q"":1,""v"":781818,""n"":209},{""y"":2022,""q"":2,""v"":830769,""n"":203},{""y"":2022,""q"":3,""v"":800000,""n"":235},{""y"":2022,""q"":4,""v"":843651,""n"":202},{""y"":2023,""q"":1,""v"":832051,""n"":224},{""y"":2023,""q"":2,""v"":881667,""n"":216},{""y"":2023,""q"":3,""v"":842857,""n"":205},{""y"":2023,""q"":4,""v"":906667,""n"":195},{""y"":2024,""q"":1,""v"":863334,""n"":204},{""y"":2024,""q"":2,""v"":900000,""n"":245},{""y"":2024,""q"":3,""v"":845000,""n"":210},{""y"":2024,""q"":4,""v"":880000,""n"":229},{""y"":2025,""q"":1,""v"":900000,""n"":258},{""y"":2025,""q"":2,""v"":845000,""n"":244},{""y"":2025,""q"":3,""v"":971429,""n"":267},{""y"":2025,""q"":4,""v"":1000000,""n"":227},{""y"":2026,""q"":1,""v"":993334,""n"":208}]"
荒川区,13118,83,2005Q3,2026Q1,11.4,17.1,33.7,69.9,125.7,5.44,12.2,116.3,"[{""y"":2016,""q"":2,""v"":600000,""n"":52},{""y"":2016,""q"":3,""v"":549651,""n"":42},{""y"":2016,""q"":4,""v"":586667,""n"":59},{""y"":2017,""q"":1,""v"":576471,""n"":69},{""y"":2017,""q"":2,""v"":520000,""n"":53},{""y"":2017,""q"":3,""v"":628571,""n"":52},{""y"":2017,""q"":4,""v"":618182,""n"":63},{""y"":2018,""q"":1,""v"":600000,""n"":64},{""y"":2018,""q"":2,""v"":600000,""n"":55},{""y"":2018,""q"":3,""v"":618182,""n"":63},{""y"":2018,""q"":4,""v"":644444,""n"":59},{""y"":2019,""q"":1,""v"":636364,""n"":52},{""y"":2019,""q"":2,""v"":632468,""n"":76},{""y"":2019,""q"":3,""v"":679221,""n"":64},{""y"":2019,""q"":4,""v"":616667,""n"":55},{""y"":2020,""q"":1,""v"":633334,""n"":74},{""y"":2020,""q"":2,""v"":718334,""n"":60},{""y"":2020,""q"":3,""v"":660769,""n"":76},{""y"":2020,""q"":4,""v"":680000,""n"":69},{""y"":2021,""q"":1,""v"":656411,""n"":138},{""y"":2021,""q"":2,""v"":678889,""n"":170},{""y"":2021,""q"":3,""v"":708392,""n"":128},{""y"":2021,""q"":4,""v"":700000,""n"":144},{""y"":2022,""q"":1,""v"":696667,""n"":136},{""y"":2022,""q"":2,""v"":760000,""n"":155},{""y"":2022,""q"":3,""v"":770330,""n"":150},{""y"":2022,""q"":4,""v"":731373,""n"":148},{""y"":2023,""q"":1,""v"":777778,""n"":155},{""y"":2023,""q"":2,""v"":766667,""n"":147},{""y"":2023,""q"":3,""v"":742857,""n"":137},{""y"":2023,""q"":4,""v"":745455,""n"":161},{""y"":2024,""q"":1,""v"":769231,""n"":181},{""y"":2024,""q"":2,""v"":800000,""n"":149},{""y"":2024,""q"":3,""v"":800000,""n"":124},{""y"":2024,""q"":4,""v"":816784,""n"":132},{""y"":2025,""q"":1,""v"":809091,""n"":168},{""y"":2025,""q"":2,""v"":800000,""n"":187},{""y"":2025,""q"":3,""v"":875000,""n"":213},{""y"":2025,""q"":4,""v"":917143,""n"":206},{""y"":2026,""q"":1,""v"":934266,""n"":136}]"
板橋区,13119,83,2005Q3,2026Q1,8.7,13.1,23.1,54.2,124.2,4.43,5.8,75.5,"[{""y"":2016,""q"":2,""v"":563334,""n"":140},{""y"":2016,""q"":3,""v"":525175,""n"":158},{""y"":2016,""q"":4,""v"":575000,""n"":171},{""y"":2017,""q"":1,""v"":571429,""n"":165},{""y"":2017,""q"":2,""v"":566434,""n"":164},{""y"":2017,""q"":3,""v"":600000,""n"":176},{""y"":2017,""q"":4,""v"":573505,""n"":170},{""y"":2018,""q"":1,""v"":581818,""n"":159},{""y"":2018,""q"":2,""v"":600000,""n"":159},{""y"":2018,""q"":3,""v"":583333,""n"":157},{""y"":2018,""q"":4,""v"":585714,""n"":177},{""y"":2019,""q"":1,""v"":600000,""n"":155},{""y"":2019,""q"":2,""v"":566667,""n"":179},{""y"":2019,""q"":3,""v"":634849,""n"":172},{""y"":2019,""q"":4,""v"":700000,""n"":187},{""y"":2020,""q"":1,""v"":613810,""n"":228},{""y"":2020,""q"":2,""v"":666667,""n"":159},{""y"":2020,""q"":3,""v"":638182,""n"":230},{""y"":2020,""q"":4,""v"":680000,""n"":234},{""y"":2021,""q"":1,""v"":632051,""n"":368},{""y"":2021,""q"":2,""v"":641429,""n"":416},{""y"":2021,""q"":3,""v"":666667,""n"":338},{""y"":2021,""q"":4,""v"":676923,""n"":412},{""y"":2022,""q"":1,""v"":661538,""n"":411},{""y"":2022,""q"":2,""v"":672727,""n"":375},{""y"":2022,""q"":3,""v"":721539,""n"":396},{""y"":2022,""q"":4,""v"":700000,""n"":397},{""y"":2023,""q"":1,""v"":720000,""n"":367},{""y"":2023,""q"":2,""v"":700000,""n"":378},{""y"":2023,""q"":3,""v"":666667,""n"":399},{""y"":2023,""q"":4,""v"":757143,""n"":395},{""y"":2024,""q"":1,""v"":742857,""n"":404},{""y"":2024,""q"":2,""v"":725175,""n"":408},{""y"":2024,""q"":3,""v"":781667,""n"":386},{""y"":2024,""q"":4,""v"":750000,""n"":427},{""y"":2025,""q"":1,""v"":727273,""n"":479},{""y"":2025,""q"":2,""v"":757143,""n"":483},{""y"":2025,""q"":3,""v"":792857,""n"":424},{""y"":2025,""q"":4,""v"":813393,""n"":444},{""y"":2026,""q"":1,""v"":816234,""n"":388}]"
練馬区,13120,83,2005Q3,2026Q1,-1.3,11.5,13.4,40.4,73.7,3.45,6.0,68.5,"[{""y"":2016,""q"":2,""v"":588235,""n"":147},{""y"":2016,""q"":3,""v"":633333,""n"":135},{""y"":2016,""q"":4,""v"":586667,""n"":147},{""y"":2017,""q"":1,""v"":585714,""n"":159},{""y"":2017,""q"":2,""v"":643077,""n"":126},{""y"":2017,""q"":3,""v"":636667,""n"":142},{""y"":2017,""q"":4,""v"":614286,""n"":155},{""y"":2018,""q"":1,""v"":640000,""n"":150},{""y"":2018,""q"":2,""v"":611111,""n"":137},{""y"":2018,""q"":3,""v"":655844,""n"":180},{""y"":2018,""q"":4,""v"":619091,""n"":148},{""y"":2019,""q"":1,""v"":679167,""n"":172},{""y"":2019,""q"":2,""v"":648077,""n"":182},{""y"":2019,""q"":3,""v"":614836,""n"":154},{""y"":2019,""q"":4,""v"":655844,""n"":148},{""y"":2020,""q"":1,""v"":703846,""n"":162},{""y"":2020,""q"":2,""v"":720780,""n"":132},{""y"":2020,""q"":3,""v"":714286,""n"":199},{""y"":2020,""q"":4,""v"":660000,""n"":225},{""y"":2021,""q"":1,""v"":662500,""n"":321},{""y"":2021,""q"":2,""v"":628571,""n"":337},{""y"":2021,""q"":3,""v"":685714,""n"":324},{""y"":2021,""q"":4,""v"":681667,""n"":344},{""y"":2022,""q"":1,""v"":672727,""n"":295},{""y"":2022,""q"":2,""v"":700000,""n"":332},{""y"":2022,""q"":3,""v"":688889,""n"":301},{""y"":2022,""q"":4,""v"":725000,""n"":333},{""y"":2023,""q"":1,""v"":700000,""n"":332},{""y"":2023,""q"":2,""v"":727922,""n"":340},{""y"":2023,""q"":3,""v"":748334,""n"":372},{""y"":2023,""q"":4,""v"":717157,""n"":370},{""y"":2024,""q"":1,""v"":764584,""n"":336},{""y"":2024,""q"":2,""v"":777381,""n"":396},{""y"":2024,""q"":3,""v"":800000,""n"":378},{""y"":2024,""q"":4,""v"":800000,""n"":307},{""y"":2025,""q"":1,""v"":781818,""n"":377},{""y"":2025,""q"":2,""v"":771429,""n"":397},{""y"":2025,""q"":3,""v"":800000,""n"":399},{""y"":2025,""q"":4,""v"":777778,""n"":381},{""y"":2026,""q"":1,""v"":783333,""n"":301}]"
足立区,13121,83,2005Q3,2026Q1,8.5,14.2,28.5,60.1,99.0,4.82,6.0,105.7,"[{""y"":2016,""q"":2,""v"":374604,""n"":112},{""y"":2016,""q"":3,""v"":384615,""n"":103},{""y"":2016,""q"":4,""v"":414836,""n"":126},{""y"":2017,""q"":1,""v"":413575,""n"":122},{""y"":2017,""q"":2,""v"":383333,""n"":120},{""y"":2017,""q"":3,""v"":407693,""n"":126},{""y"":2017,""q"":4,""v"":400000,""n"":114},{""y"":2018,""q"":1,""v"":426667,""n"":125},{""y"":2018,""q"":2,""v"":436364,""n"":141},{""y"":2018,""q"":3,""v"":415385,""n"":123},{""y"":2018,""q"":4,""v"":415385,""n"":113},{""y"":2019,""q"":1,""v"":469048,""n"":108},{""y"":2019,""q"":2,""v"":445299,""n"":98},{""y"":2019,""q"":3,""v"":420000,""n"":121},{""y"":2019,""q"":4,""v"":476923,""n"":115},{""y"":2020,""q"":1,""v"":466667,""n"":140},{""y"":2020,""q"":2,""v"":446154,""n"":91},{""y"":2020,""q"":3,""v"":456350,""n"":146},{""y"":2020,""q"":4,""v"":484445,""n"":198},{""y"":2021,""q"":1,""v"":466667,""n"":271},{""y"":2021,""q"":2,""v"":472727,""n"":310},{""y"":2021,""q"":3,""v"":486957,""n"":289},{""y"":2021,""q"":4,""v"":485714,""n"":291},{""y"":2022,""q"":1,""v"":493333,""n"":311},{""y"":2022,""q"":2,""v"":495000,""n"":305},{""y"":2022,""q"":3,""v"":518334,""n"":242},{""y"":2022,""q"":4,""v"":519872,""n"":252},{""y"":2023,""q"":1,""v"":554701,""n"":264},{""y"":2023,""q"":2,""v"":523810,""n"":265},{""y"":2023,""q"":3,""v"":520000,""n"":296},{""y"":2023,""q"":4,""v"":550000,""n"":284},{""y"":2024,""q"":1,""v"":557778,""n"":306},{""y"":2024,""q"":2,""v"":552381,""n"":331},{""y"":2024,""q"":3,""v"":573333,""n"":289},{""y"":2024,""q"":4,""v"":540588,""n"":324},{""y"":2025,""q"":1,""v"":533333,""n"":359},{""y"":2025,""q"":2,""v"":571429,""n"":357},{""y"":2025,""q"":3,""v"":585714,""n"":410},{""y"":2025,""q"":4,""v"":600000,""n"":422},{""y"":2026,""q"":1,""v"":600000,""n"":263}]"
葛飾区,13122,83,2005Q3,2026Q1,4.1,19.6,27.2,63.6,98.6,5.05,6.2,89.4,"[{""y"":2016,""q"":2,""v"":441429,""n"":76},{""y"":2016,""q"":3,""v"":415385,""n"":79},{""y"":2016,""q"":4,""v"":457143,""n"":80},{""y"":2017,""q"":1,""v"":422619,""n"":64},{""y"":2017,""q"":2,""v"":442857,""n"":71},{""y"":2017,""q"":3,""v"":449495,""n"":76},{""y"":2017,""q"":4,""v"":425000,""n"":87},{""y"":2018,""q"":1,""v"":471429,""n"":101},{""y"":2018,""q"":2,""v"":448077,""n"":86},{""y"":2018,""q"":3,""v"":433333,""n"":84},{""y"":2018,""q"":4,""v"":453333,""n"":83},{""y"":2019,""q"":1,""v"":470000,""n"":73},{""y"":2019,""q"":2,""v"":474176,""n"":98},{""y"":2019,""q"":3,""v"":454545,""n"":73},{""y"":2019,""q"":4,""v"":443182,""n"":78},{""y"":2020,""q"":1,""v"":440000,""n"":95},{""y"":2020,""q"":2,""v"":500700,""n"":68},{""y"":2020,""q"":3,""v"":503846,""n"":96},{""y"":2020,""q"":4,""v"":475000,""n"":115},{""y"":2021,""q"":1,""v"":481667,""n"":202},{""y"":2021,""q"":2,""v"":485000,""n"":237},{""y"":2021,""q"":3,""v"":482353,""n"":205},{""y"":2021,""q"":4,""v"":507692,""n"":237},{""y"":2022,""q"":1,""v"":511212,""n"":186},{""y"":2022,""q"":2,""v"":500000,""n"":211},{""y"":2022,""q"":3,""v"":528571,""n"":201},{""y"":2022,""q"":4,""v"":515477,""n"":178},{""y"":2023,""q"":1,""v"":569231,""n"":201},{""y"":2023,""q"":2,""v"":520000,""n"":181},{""y"":2023,""q"":3,""v"":521539,""n"":200},{""y"":2023,""q"":4,""v"":540000,""n"":215},{""y"":2024,""q"":1,""v"":542857,""n"":221},{""y"":2024,""q"":2,""v"":568068,""n"":202},{""y"":2024,""q"":3,""v"":600000,""n"":185},{""y"":2024,""q"":4,""v"":600000,""n"":213},{""y"":2025,""q"":1,""v"":600000,""n"":225},{""y"":2025,""q"":2,""v"":600000,""n"":253},{""y"":2025,""q"":3,""v"":616667,""n"":239},{""y"":2025,""q"":4,""v"":671429,""n"":231},{""y"":2026,""q"":1,""v"":632468,""n"":188}]"
