station_name,pref_cd,address,post_title,post_name,prefecture
国分寺,13,東京都国分寺市本町二丁目1-23,国分寺駅,国分寺,東京都
西国分寺,13,国分寺市西恋ケ窪２丁目,西国分寺駅,西国分寺,東京都
国立,13,国立市北１丁目,国立駅,国立,東京都
立川,13,東京都立川市曙町二丁目1-1,立川駅,立川,東京都
日野,13,日野市大坂上１丁目,日野駅,日野,東京都
豊田,13,日野市豊田４丁目,豊田駅,豊田,東京都
八王子,13,東京都八王子市旭町1-1,八王子駅,八王子,東京都
西八王子,13,八王子市千人町２丁目,西八王子駅,西八王子,東京都
高尾,13,八王子市高尾町,高尾駅,高尾,東京都
三鷹,13,東京都三鷹市下連雀三丁目46-1,三鷹駅,三鷹,東京都
吉祥寺,13,東京都武蔵野市吉祥寺南町,吉祥寺駅,吉祥寺,東京都
西荻窪,13,杉並区西荻南３丁目,西荻窪駅,西荻窪,東京都
荻窪,13,杉並区上荻１丁目,荻窪駅,荻窪,東京都
阿佐ケ谷,13,東京都杉並区阿佐谷南三丁目36-2,阿佐ケ谷駅,阿佐ケ谷,東京都
高円寺,13,杉並区高円寺南４丁目,高円寺駅,高円寺,東京都
中野,13,中野区中野５丁目,中野駅,中野,東京都
東中野,13,中野区東中野４丁目,東中野駅,東中野,東京都
大久保,13,新宿区百人町１丁目,大久保駅,大久保,東京都
新宿,13,東京都新宿区新宿三丁目38-1,新宿駅,新宿,東京都
代々木,13,東京都渋谷区代々木一丁目34-1,代々木駅,代々木,東京都
千駄ケ谷,13,東京都渋谷区千駄ヶ谷一丁目35-10,千駄ケ谷駅,千駄ケ谷,東京都
信濃町,13,新宿区信濃町,信濃町駅,信濃町,東京都
四ツ谷,13,東京都新宿区四谷一丁目,四ツ谷駅,四ツ谷,東京都
市ケ谷,13,千代田区五番町2-1,市ケ谷駅,市ケ谷,東京都
飯田橋,13,東京都千代田区飯田橋四丁目10-2,飯田橋駅,飯田橋,東京都
水道橋,13,千代田区神田三崎町二丁目22-1,水道橋駅,水道橋,東京都
御茶ノ水,13,千代田区神田駿河台二丁目6-1,御茶ノ水駅,御茶ノ水,東京都
秋葉原,13,東京都千代田区外神田一丁目17-6,秋葉原駅,秋葉原,東京都
浅草橋,13,台東区浅草橋１丁目,浅草橋駅,浅草橋,東京都
両国,13,墨田区横網１丁目,両国駅,両国,東京都
錦糸町,13,墨田区江東橋３丁目,錦糸町駅,錦糸町,東京都
亀戸,13,江東区亀戸５丁目,亀戸駅,亀戸,東京都
平井,13,江戸川区平井３丁目,平井駅,平井,東京都
新小岩,13,葛飾区新小岩１丁目,新小岩駅,新小岩,東京都
小岩,13,江戸川区南小岩７丁目,小岩駅,小岩,東京都
東京,13,東京都千代田区丸の内一丁目,東京駅,東京,東京都
新日本橋,13,中央区日本橋室町４丁目,新日本橋駅,新日本橋,東京都
馬喰町,13,中央区日本橋馬喰町１丁目,馬喰町駅,馬喰町,東京都
錦糸町,13,墨田区江東橋３丁目,錦糸町駅,錦糸町,東京都
新小岩,13,葛飾区新小岩１丁目,新小岩駅,新小岩,東京都
立川,13,東京都立川市曙町二丁目1-1,立川駅,立川,東京都
西立川,13,立川市富士見町１丁目,西立川駅,西立川,東京都
東中神,13,昭島市玉川町１丁目,東中神駅,東中神,東京都
中神,13,昭島市朝日町１丁目,中神駅,中神,東京都
昭島,13,昭島市昭和町２丁目,昭島駅,昭島,東京都
拝島,13,昭島市松原町４丁目,拝島駅,拝島,東京都
牛浜,13,福生市牛浜,牛浜駅,牛浜,東京都
福生,13,福生市本町,福生駅,福生,東京都
羽村,13,羽村市羽東１丁目,羽村駅,羽村,東京都
小作,13,羽村市小作台,小作駅,小作,東京都
河辺,13,青梅市河辺町５丁目,河辺駅,河辺,東京都
東青梅,13,青梅市東青梅１丁目,東青梅駅,東青梅,東京都
青梅,13,青梅市青梅,青梅駅,青梅,東京都
宮ノ平,13,青梅市日向和田２丁目,宮ノ平駅,宮ノ平,東京都
日向和田,13,青梅市日向和田３丁目,日向和田駅,日向和田,東京都
石神前,13,青梅市二俣尾１丁目,石神前駅,石神前,東京都
二俣尾,13,青梅市二俣尾４丁目,二俣尾駅,二俣尾,東京都
軍畑,13,青梅市沢井１丁目,軍畑駅,軍畑,東京都
沢井,13,青梅市沢井２丁目,沢井駅,沢井,東京都
御嶽,13,青梅市御岳本町,御嶽駅,御嶽,東京都
川井,13,西多摩郡奥多摩町川井,川井駅,川井,東京都
古里,13,西多摩郡奥多摩町小丹波,古里駅,古里,東京都
鳩ノ巣,13,西多摩郡奥多摩町棚沢,鳩ノ巣駅,鳩ノ巣,東京都
白丸,13,西多摩郡奥多摩町白丸,白丸駅,白丸,東京都
奥多摩,13,西多摩郡奥多摩町氷川,奥多摩駅,奥多摩,東京都
拝島,13,昭島市松原町４丁目,拝島駅,拝島,東京都
熊川,13,福生市熊川北,熊川駅,熊川,東京都
東秋留,13,あきる野市野辺,東秋留駅,東秋留,東京都
秋川,13,あきる野市油平,秋川駅,秋川,東京都
武蔵引田,13,あきる野市下引田,武蔵引田駅,武蔵引田,東京都
武蔵増戸,13,あきる野市伊奈,武蔵増戸駅,武蔵増戸,東京都
武蔵五日市,13,あきる野市舘谷,武蔵五日市駅,武蔵五日市,東京都
八王子,13,東京都八王子市旭町1-1,八王子駅,八王子,東京都
北八王子,13,八王子市石川町,北八王子駅,北八王子,東京都
小宮,13,八王子市小宮町,小宮駅,小宮,東京都
拝島,13,昭島市松原町４丁目,拝島駅,拝島,東京都
東福生,13,福生市武蔵野台１丁目,東福生駅,東福生,東京都
箱根ケ崎,13,東京都西多摩郡瑞穂町大字箱根ケ崎397,箱根ケ崎駅,箱根ケ崎,東京都
東京,13,東京都千代田区丸の内一丁目9-1,東京駅,東京,東京都
上野,13,東京都台東区上野七丁目1-1,上野駅,上野,東京都
尾久,13,北区昭和町１丁目,尾久駅,尾久,東京都
赤羽,13,北区赤羽１丁目,赤羽駅,赤羽,東京都
上野,13,東京都台東区上野七丁目1-1,上野駅,上野,東京都
日暮里,13,東京都荒川区西日暮里二丁目,日暮里駅,日暮里,東京都
三河島,13,荒川区西日暮里１丁目,三河島駅,三河島,東京都
南千住,13,荒川区南千住４丁目,南千住駅,南千住,東京都
北千住,13,足立区千住旭町,北千住駅,北千住,東京都
綾瀬,13,足立区綾瀬３丁目,綾瀬駅,綾瀬,東京都
亀有,13,葛飾区亀有３,亀有駅,亀有,東京都
金町,13,葛飾区金町６丁目,金町駅,金町,東京都
大崎,13,東京都品川区大崎一丁目21-4,大崎駅,大崎,東京都
恵比寿,13,東京都渋谷区恵比寿南一丁目5-5,恵比寿駅,恵比寿,東京都
渋谷,13,東京都渋谷区道玄坂一丁目1-1,渋谷駅,渋谷,東京都
新宿,13,東京都新宿区新宿三丁目38-1,新宿駅,新宿,東京都
池袋,13,東京都豊島区,池袋駅,池袋,東京都
板橋,13,板橋区板橋１丁目,板橋駅,板橋,東京都
十条,13,北区上十条１丁目,十条駅,十条,東京都
赤羽,13,北区赤羽１丁目,赤羽駅,赤羽,東京都
北赤羽,13,北区赤羽北２丁目,北赤羽駅,北赤羽,東京都
浮間舟渡,13,北区浮間４丁目,浮間舟渡駅,浮間舟渡,東京都
上野,13,東京都台東区上野七丁目1-1,上野駅,上野,東京都
尾久,13,北区昭和町１丁目,尾久駅,尾久,東京都
赤羽,13,北区赤羽１丁目,赤羽駅,赤羽,東京都
東京,13,東京都千代田区丸の内一丁目,東京駅,東京,東京都
八丁堀,13,中央区八丁堀３丁目,八丁堀駅,八丁堀,東京都
越中島,13,江東区越中島２丁目,越中島駅,越中島,東京都
潮見,13,江東区潮見２丁目,潮見駅,潮見,東京都
新木場,13,東京都江東区新木場一丁目5,新木場駅,新木場,東京都
葛西臨海公園,13,江戸川区臨海町６丁目,葛西臨海公園駅,葛西臨海公園,東京都
池袋,13,東京都豊島区南池袋一丁目28-2,池袋駅,池袋,東京都
新宿,13,東京都新宿区新宿三丁目38-1,新宿駅,新宿,東京都
高尾,13,八王子市高尾町,高尾駅,高尾,東京都
八王子,13,東京都八王子市旭町1-1,八王子駅,八王子,東京都
立川,13,東京都立川市曙町二丁目1-1,立川駅,立川,東京都
国分寺,13,東京都国分寺市本町二丁目,国分寺駅,国分寺,東京都
三鷹,13,東京都三鷹市下連雀三丁目46-1,三鷹駅,三鷹,東京都
吉祥寺,13,東京都武蔵野市吉祥寺南町,吉祥寺駅,吉祥寺,東京都
渋谷,13,東京都渋谷区道玄坂一丁目1-1,渋谷駅,渋谷,東京都
品川,13,東京都港区高輪三丁目26-26,品川駅,品川,東京都
東京,13,東京都千代田区丸の内一丁目,東京駅,東京,東京都
赤羽,13,北区赤羽１丁目,赤羽駅,赤羽,東京都
東十条,13,北区東十条３丁目,東十条駅,東十条,東京都
王子,13,北区王子１丁目,王子駅,王子,東京都
上中里,13,北区上中里１丁目,上中里駅,上中里,東京都
田端,13,東京都北区東田端一丁目17-1,田端駅,田端,東京都
西日暮里,13,東京都荒川区西日暮里五丁目22-1,西日暮里駅,西日暮里,東京都
日暮里,13,東京都荒川区西日暮里二丁目,日暮里駅,日暮里,東京都
鶯谷,13,東京都台東区根岸一丁目4-1,鶯谷駅,鶯谷,東京都
上野,13,東京都台東区上野七丁目1-1,上野駅,上野,東京都
御徒町,13,東京都台東区上野五丁目27,御徒町駅,御徒町,東京都
秋葉原,13,東京都千代田区外神田一丁目17-6,秋葉原駅,秋葉原,東京都
神田,13,東京都千代田区鍛冶町二丁目13-1,神田駅,神田,東京都
東京,13,東京都千代田区丸の内一丁目,東京駅,東京,東京都
有楽町,13,東京都千代田区有楽町二丁目9-17,有楽町駅,有楽町,東京都
新橋,13,東京都港区新橋二丁目17,新橋駅,新橋,東京都
浜松町,13,東京都港区海岸一丁目3-1,浜松町駅,浜松町,東京都
田町,13,東京都港区芝五丁目33-36,田町駅,田町,東京都
高輪ゲートウェイ,13,港区港南二丁目10-145,高輪ゲートウェイ駅,高輪ゲートウェイ,東京都
品川,13,東京都港区高輪三丁目26-26,品川駅,品川,東京都
大井町,13,品川区大井１丁目,大井町駅,大井町,東京都
大森,13,大田区大森北１丁目,大森駅,大森,東京都
蒲田,13,大田区蒲田５丁目,蒲田駅,蒲田,東京都
赤羽,13,北区赤羽１丁目,赤羽駅,赤羽,東京都
池袋,13,東京都豊島区南池袋一丁目28-2,池袋駅,池袋,東京都
新宿,13,東京都新宿区新宿三丁目38-1,新宿駅,新宿,東京都
渋谷,13,東京都渋谷区道玄坂一丁目1-1,渋谷駅,渋谷,東京都
恵比寿,13,東京都渋谷区恵比寿南一丁目5-5,恵比寿駅,恵比寿,東京都
大崎,13,東京都品川区大崎一丁目21-4,大崎駅,大崎,東京都
西大井,13,品川区西大井１丁目,西大井駅,西大井,東京都
