検索条件
"・地域：都内全域"
"・届出状態：完了"
"・用途：住宅等"
"・建物番号：指定なし"
"・建築主：指定なし"
"・設計者：指定なし"
"・環境性能：指定なし"
"・再エネ設備：指定なし"
"・再エネ電気：指定なし"
"・EV充電器：指定なし"


検索結果：1224件　CSV出力件数：1224件（CSV出力件数は建物の件数です。）

建物番号,地域,建物名,所在地,建築主,延べ面積,階数、構造,届出状況,工事完了(予定)年月,用途,UA値,ERR（住宅）,用途,PAL*低減率,ERR,基準年度,太陽光発電,太陽熱利用,地中熱利用,その他,合計値,再エネ電気,EV充電器,建物の断熱性,設備の省エネ性,再エネ設備・電気(太陽光発電・太陽熱),維持管理・劣化対策(建物の長寿命化),みどり
"230432","江東区","ウエリスアーバン住吉WEST","江東区猿江一丁目22-10","NTT都市開発株式会社　代表取締役社長　池田 康","2550.86","地上10階、地下0階、RC造","計画書（完了時）","2026-02-25","賃貸住宅","0.58","24.8","","","","2020","0.0","0.0","0.0","0.0","0.0","導入しない","なし","3","3","1","3","1"
"240195","大田区","イニシア大田糀谷","大田区西糀谷三丁目５番１９号","株式会社 コスモスイニシア　代表取締役社長　髙智　亮大朗","4661.46","地上8階、地下0階、RC造","計画書（完了時）","2026-02-25","分譲住宅","0.60","20.9","","","","2024","0.0","0.0","0.0","0.0","0.0","導入しない","あり","3","3","1","3","2"
"240179","練馬区","ベルメゾン中村橋ノース","練馬区中村北2丁目20-8","日本酒類販売株式会社 代表取締役社長　倉本隆","2096.82","地上3階、地下0階、RC造","計画書（完了時）","2026-02-24","賃貸住宅","0.78","14.9","","","","2024","0.0","0.0","0.0","0.0","0.0","導入しない","なし","2","3","1","1","1"
"230741","北区","TOMORE田端","北区東田端1丁目4番2　他　　（地名地番）","野村不動産株式会社 代表取締役社長　松尾　大作","3210.23","地上8階、地下0階、RC造","計画書（完了時）","2026-02-19","賃貸住宅","0.60","22.1","","","","2020","0.0","0.0","0.0","0.0","0.0","導入しない","なし","3","3","1","2","1"
"230590","渋谷区","アーバンブリーズ恵比寿","渋谷区東３丁目15-2","株式会社フージャースアセットマネジメント 代表取締役社長 小川栄一","3307.90","地上14階、地下1階、RC造","計画書（完了時）","2026-02-19","賃貸住宅","0.59","33.0","","","","2020","0.0","0.0","0.0","0.0","0.0","導入しない","なし","3","3","1","2","1"
"230590","渋谷区","アーバンブリーズ恵比寿","渋谷区東３丁目15-2","株式会社フージャースアセットマネジメント 代表取締役社長 小川栄一","3307.90","地上14階、地下1階、RC造","計画書（完了時）","2026-02-19","賃貸住宅","0.59","33.0","","","","2020","0.0","0.0","0.0","0.0","0.0","導入しない","なし","3","3","1","2","1"
"240231","港区","東京海洋大学（品川）国際混住寮（仮称）新営工事","港区港南4丁目29番1の一部","大和ハウス工業株式会社　代表取締役社長　芳井　敬一","12284.36","地上10階、地下0階、RC造","計画書（完了時）","2026-02-19","分譲住宅","0.60","24.4","","","","2020","9.8","0.0","0.0","0.0","9.8","導入しない","なし","3","3","2","1","1"
"230745","武蔵野市","プラウド吉祥寺本町","武蔵野市吉祥寺本町一丁目34番6号","野村不動産株式会社　代表取締役　松尾大作","2992.48","地上5階、地下1階、RC造","計画書（完了時）","2026-02-18","分譲住宅","0.55","22.5","","","","2020","5.5","0.0","0.0","0.0","5.5","導入しない","なし","3","3","2","3","1"
"240295","小平市","ルピアコート花小金井","小平市花小金井六丁目127番1","株式会社中央住宅　代表取締役社長　品川　典久　三信住建株式会社　代表取締役社長　信田　博幸","3757.14","地上5階、地下0階、RC造","計画書（完了時）","2026-02-17","分譲住宅","0.59","21.6","","","","2024","0.0","0.0","0.0","0.0","0.0","導入しない","あり","3","3","1","1","1"
"230086","大田区","（仮称）大田区西蒲田七丁目計画","大田区西蒲田七丁目50番10、15、16","東急株式会社　取締役社長　堀江正博","4626.70","地上14階、地下0階、RC造","計画書（完了時）","2026-02-16","賃貸住宅","0.72","17.5","","","","2020","0.0","0.0","0.0","0.0","0.0","導入しない","なし","3","3","1","1","1"
"240156","渋谷区","ディアナガーデン恵比寿　The House","渋谷区恵比寿四丁目24番1（地名地番）","株式会社モリモト 　代表取締役社長　柏木 二郎　","2223.13","地上8階、地下0階、RC造","計画書（完了時）","2026-02-16","分譲住宅","0.53","24.9","","","","2024","0.0","0.0","0.0","0.0","0.0","導入しない","なし","2","3","1","3","3"
"240022","江戸川区","グランディア ラフィーネ","江戸川区船堀四丁目844番1の一部、846番1の一部","髙津　民雄","2662.76","地上10階、地下0階、RC造","計画書（完了時）","2026-02-13","賃貸住宅","0.86","16.3","","","","2024","0.0","0.0","0.0","0.0","0.0","導入しない","あり","2","3","1","1","1"
"240128","墨田区","(仮称)墨田区太平三丁目計画","墨田区太平三丁目14番11，12，13，14，16","株式会社リンク・トラスト　代表取締役　 高旗 通博","2424.97","地上13階、地下0階、RC造","計画書（完了時）","2026-02-13","賃貸住宅","1.34","19.0","","","","2024","0.0","0.0","0.0","0.0","0.0","導入しない","なし","1","3","1","3","1"
"240041","江戸川区","ガーラ・レジデンス船堀ブライト","江戸川区松江七丁目11-11","㈱ＦＪネクストレジデンシャル代表取締役　福島英次　三信住建㈱代表取締役　信田博幸","2845.28","地上13階、地下0階、RC造","計画書（完了時）","2026-02-13","分譲住宅","0.76","19.0","","","","2024","0.0","0.0","0.0","0.0","0.0","導入しない","あり","2","3","1","3","1"
"240061","立川市","プレシス立川パークフロント","立川市錦町3丁目3番1、4番1","一建設株式会社　代表取締役　堀口　忠美","3145.15","地上10階、地下0階、RC造","計画書（完了時）","2026-02-12","分譲住宅","0.58","25.5","","","","2024","0.0","0.0","0.0","0.0","0.0","導入しない","なし","3","3","1","3","1"
"240261","八王子市","フェルモ豊田エスト","八王子市高倉町37-2","ENEOS不動産株式会社 代表取締役社長　丹羽 逸夫","4422.09","地上5階、地下0階、RC造","計画書（完了時）","2026-02-10","分譲住宅","0.58","27.1","","","","2024","0.0","0.0","0.0","0.0","0.0","導入しない","なし","3","3","1","3","1"
"230720","豊島区","パークアクシス池袋イースト","豊島区東池袋3丁目13番5","三井不動産レジデンシャル株式会社　 代表取締役社長　嘉村　徹","4405.76","地上12階、地下0階、RC造","計画書（完了時）","2026-02-10","賃貸住宅","0.54","19.8","","","","2020","0.0","0.0","0.0","0.0","0.0","導入しない","なし","3","3","1","2","1"
"210659","北区","シティテラス赤羽　THE WEST","北区赤羽南二丁目199番他","住友不動産株式会社　代表取締役副社長　小林　正人","11593.75","地上13階、地下0階、RC造","計画書（完了時）","2026-02-10","分譲住宅","0.87","15.9","","","","2020","0.0","0.0","0.0","0.0","0.0","導入しない","なし","2","3","1","3","2"
"240260","八王子市","フェルモ豊田オヴェスト","八王子市高倉町38-1","ENEOS不動産株式会社 代表取締役社長　丹羽 逸夫","4070.58","地上5階、地下0階、RC造","計画書（完了時）","2026-02-09","分譲住宅","0.56","30.1","","","","2024","0.0","0.0","0.0","0.0","0.0","導入しない","なし","3","3","1","3","2"
